fulfillment_id,order_id,fulfillment_date,month,region_id,processing_time,fulfillment_time,delivery_time,delivery_time_days,sla_actual,sla_target,sla_target_days,sla_met,shipping_cost,inventory_level,inventory_turnover
FUL-DISR-000013,ORD-HG-10013,2023-01-02,2023-01,REG-03,4.1,4.1,8.0,8.0,8.0,3.0,3.0,0,1736.97,480,3.03
FUL-DISR-000014,ORD-HG-10014,2023-01-02,2023-01,REG-02,3.8,3.4,8.9,8.9,8.9,3.0,3.0,0,1660.64,699,5.02
FUL-DISR-000015,ORD-HG-10015,2023-01-03,2023-01,REG-03,3.4,5.4,4.7,4.7,4.7,3.0,3.0,0,930.46,364,4.95
FUL-DISR-000016,ORD-HG-10016,2023-01-03,2023-01,REG-05,4.4,3.4,5.6,5.6,5.6,3.0,3.0,0,1485.03,594,3.87
FUL-DISR-000017,ORD-HG-10017,2023-01-03,2023-01,REG-02,4.3,4.9,9.1,9.1,9.1,3.0,3.0,0,674.54,473,3.43
FUL-DISR-000018,ORD-HG-10018,2023-01-03,2023-01,REG-03,3.8,5.4,7.3,7.3,7.3,3.0,3.0,0,458.7,731,3.26
FUL-DISR-000019,ORD-HG-10019,2023-01-03,2023-01,REG-01,2.6,3.9,6.1,6.1,6.1,3.0,3.0,0,1839.84,508,4.49
FUL-DISR-000020,ORD-HG-10020,2023-01-03,2023-01,REG-05,4.1,4.3,5.5,5.5,5.5,3.0,3.0,0,1712.68,792,5.45
FUL-DISR-000021,ORD-HG-10021,2023-01-03,2023-01,REG-03,3.5,4.8,6.9,6.9,6.9,3.0,3.0,0,1063.1,232,3.81
FUL-DISR-000022,ORD-HG-10022,2023-01-03,2023-01,REG-05,2.5,4.8,8.1,8.1,8.1,3.0,3.0,0,1183.51,519,3.45
FUL-DISR-000023,ORD-HG-10023,2023-01-03,2023-01,REG-05,3.7,4.1,6.5,6.5,6.5,3.0,3.0,0,1155.36,281,4.98
FUL-DISR-000024,ORD-HG-10024,2023-01-04,2023-01,REG-04,2.6,4.1,6.4,6.4,6.4,3.0,3.0,0,639.52,551,3.42
FUL-DISR-000025,ORD-HG-10025,2023-01-04,2023-01,REG-01,2.2,3.9,9.1,9.1,9.1,3.0,3.0,0,879.71,248,5.42
FUL-DISR-000026,ORD-HG-10026,2023-01-04,2023-01,REG-01,3.8,4.6,7.3,7.3,7.3,3.0,3.0,0,1464.48,584,5.39
FUL-DISR-000027,ORD-HG-10027,2023-01-04,2023-01,REG-01,2.2,4.8,7.6,7.6,7.6,3.0,3.0,0,1513.92,480,3.33
FUL-DISR-000028,ORD-HG-10028,2023-01-04,2023-01,REG-01,3.9,5.2,5.6,5.6,5.6,3.0,3.0,0,514.93,347,5.36
FUL-DISR-000029,ORD-HG-10029,2023-01-04,2023-01,REG-04,2.1,5.2,7.4,7.4,7.4,3.0,3.0,0,1175.64,598,4.21
FUL-DISR-000030,ORD-HG-10030,2023-01-04,2023-01,REG-05,2.8,3.7,7.2,7.2,7.2,3.0,3.0,0,776.91,222,4.6
FUL-DISR-000031,ORD-HG-10031,2023-01-04,2023-01,REG-05,3.6,3.2,8.4,8.4,8.4,3.0,3.0,0,1008.05,724,3.08
FUL-DISR-000032,ORD-HG-10032,2023-01-04,2023-01,REG-04,3.9,3.7,8.8,8.8,8.8,3.0,3.0,0,479.57,635,5.45
FUL-DISR-000033,ORD-HG-10033,2023-01-05,2023-01,REG-02,4.5,4.8,4.8,4.8,4.8,3.0,3.0,0,1251.65,666,4.48
FUL-DISR-000034,ORD-HG-10034,2023-01-05,2023-01,REG-02,3.6,3.8,9.4,9.4,9.4,3.0,3.0,0,650.75,603,4.27
FUL-DISR-000035,ORD-HG-10035,2023-01-05,2023-01,REG-01,3.4,4.6,7.4,7.4,7.4,3.0,3.0,0,1709.44,779,5.46
FUL-DISR-000036,ORD-HG-10036,2023-01-05,2023-01,REG-01,3.6,3.8,4.9,4.9,4.9,3.0,3.0,0,1346.93,282,3.08
FUL-DISR-000037,ORD-HG-10037,2023-01-05,2023-01,REG-05,4.1,5.3,6.2,6.2,6.2,3.0,3.0,0,1378.94,779,3.28
FUL-DISR-000038,ORD-HG-10038,2023-01-05,2023-01,REG-05,4.4,3.1,6.1,6.1,6.1,3.0,3.0,0,1096.52,413,4.94
FUL-DISR-000039,ORD-HG-10039,2023-01-05,2023-01,REG-02,2.6,4.1,5.9,5.9,5.9,3.0,3.0,0,1025.34,660,4.33
FUL-DISR-000040,ORD-HG-10040,2023-01-05,2023-01,REG-01,3.2,4.1,5.8,5.8,5.8,3.0,3.0,0,747.83,619,3.89
FUL-DISR-000041,ORD-HG-10041,2023-01-06,2023-01,REG-03,4.2,3.2,8.6,8.6,8.6,3.0,3.0,0,1071.36,362,3.74
FUL-DISR-000042,ORD-HG-10042,2023-01-06,2023-01,REG-01,2.2,3.4,8.7,8.7,8.7,3.0,3.0,0,875.94,379,4.99
FUL-DISR-000043,ORD-HG-10043,2023-01-06,2023-01,REG-02,2.1,4.4,8.6,8.6,8.6,3.0,3.0,0,634.92,513,4.63
FUL-DISR-000044,ORD-HG-10044,2023-01-06,2023-01,REG-04,2.0,4.4,9.2,9.2,9.2,3.0,3.0,0,1849.39,615,4.4
FUL-DISR-000045,ORD-HG-10045,2023-01-06,2023-01,REG-04,2.5,3.8,5.3,5.3,5.3,3.0,3.0,0,1721.04,274,3.26
FUL-DISR-000046,ORD-HG-10046,2023-01-07,2023-01,REG-02,3.5,4.9,6.2,6.2,6.2,3.0,3.0,0,1430.21,289,3.58
FUL-DISR-000047,ORD-HG-10047,2023-01-07,2023-01,REG-05,2.3,3.9,9.3,9.3,9.3,3.0,3.0,0,482.94,270,4.89
FUL-DISR-000048,ORD-HG-10048,2023-01-07,2023-01,REG-02,3.2,4.5,8.4,8.4,8.4,3.0,3.0,0,851.55,519,3.32
FUL-DISR-000049,ORD-HG-10049,2023-01-07,2023-01,REG-01,4.1,3.8,6.6,6.6,6.6,3.0,3.0,0,785.97,459,3.29
FUL-DISR-000050,ORD-HG-10050,2023-01-07,2023-01,REG-04,3.8,5.0,7.1,7.1,7.1,3.0,3.0,0,705.49,476,4.08
FUL-DISR-000051,ORD-HG-10051,2023-01-08,2023-01,REG-05,3.8,3.9,5.8,5.8,5.8,3.0,3.0,0,1028.87,653,4.94
FUL-DISR-000052,ORD-HG-10052,2023-01-08,2023-01,REG-02,4.5,5.0,4.9,4.9,4.9,3.0,3.0,0,1075.24,660,3.11
FUL-DISR-000053,ORD-HG-10053,2023-01-08,2023-01,REG-01,2.1,3.6,5.6,5.6,5.6,3.0,3.0,0,1843.99,280,3.01
FUL-DISR-000054,ORD-HG-10054,2023-01-08,2023-01,REG-04,4.4,3.3,5.8,5.8,5.8,3.0,3.0,0,804.09,294,3.65
FUL-DISR-000055,ORD-HG-10055,2023-01-08,2023-01,REG-05,4.3,3.3,9.4,9.4,9.4,3.0,3.0,0,556.01,771,5.4
FUL-DISR-000056,ORD-HG-10056,2023-01-08,2023-01,REG-01,3.6,3.3,5.8,5.8,5.8,3.0,3.0,0,1516.63,457,5.0
FUL-DISR-000057,ORD-HG-10057,2023-01-08,2023-01,REG-03,4.5,5.2,9.2,9.2,9.2,3.0,3.0,0,1159.22,334,3.02
FUL-DISR-000058,ORD-HG-10058,2023-01-08,2023-01,REG-02,4.3,4.3,5.3,5.3,5.3,3.0,3.0,0,958.44,398,3.87
FUL-DISR-000059,ORD-HG-10059,2023-01-08,2023-01,REG-04,2.8,3.2,5.9,5.9,5.9,3.0,3.0,0,1322.46,455,3.85
FUL-DISR-000060,ORD-HG-10060,2023-01-08,2023-01,REG-01,2.0,4.3,8.3,8.3,8.3,3.0,3.0,0,1620.69,331,3.28
FUL-DISR-000061,ORD-HG-10061,2023-01-08,2023-01,REG-01,2.6,3.7,5.6,5.6,5.6,3.0,3.0,0,1204.76,588,4.29
FUL-DISR-000062,ORD-HG-10062,2023-01-08,2023-01,REG-03,2.4,4.6,5.9,5.9,5.9,3.0,3.0,0,1837.55,758,3.27
FUL-DISR-000063,ORD-HG-10063,2023-01-09,2023-01,REG-05,2.2,5.4,7.7,7.7,7.7,3.0,3.0,0,1361.4,662,3.71
FUL-DISR-000064,ORD-HG-10064,2023-01-09,2023-01,REG-02,3.8,3.9,4.8,4.8,4.8,3.0,3.0,0,1551.31,284,3.56
FUL-DISR-000065,ORD-HG-10065,2023-01-09,2023-01,REG-05,4.0,4.8,8.4,8.4,8.4,3.0,3.0,0,874.13,791,5.16
FUL-DISR-000066,ORD-HG-10066,2023-01-09,2023-01,REG-05,3.4,3.2,6.2,6.2,6.2,3.0,3.0,0,552.8,489,3.13
FUL-DISR-000067,ORD-HG-10067,2023-01-09,2023-01,REG-01,4.3,5.3,5.3,5.3,5.3,3.0,3.0,0,923.56,402,5.09
FUL-DISR-000068,ORD-HG-10068,2023-01-09,2023-01,REG-02,2.1,3.4,9.1,9.1,9.1,3.0,3.0,0,1573.57,261,5.19
FUL-DISR-000069,ORD-HG-10069,2023-01-09,2023-01,REG-01,3.8,5.3,5.9,5.9,5.9,3.0,3.0,0,953.25,651,4.93
FUL-DISR-000070,ORD-HG-10070,2023-01-09,2023-01,REG-03,3.9,5.1,7.8,7.8,7.8,3.0,3.0,0,1117.35,773,4.26
FUL-DISR-000071,ORD-HG-10071,2023-01-10,2023-01,REG-02,3.2,5.3,5.9,5.9,5.9,3.0,3.0,0,1259.55,550,4.27
FUL-DISR-000072,ORD-HG-10072,2023-01-10,2023-01,REG-02,3.5,3.3,5.6,5.6,5.6,3.0,3.0,0,897.15,789,3.51
FUL-DISR-000073,ORD-HG-10073,2023-01-10,2023-01,REG-05,2.6,3.5,7.2,7.2,7.2,3.0,3.0,0,982.08,726,5.21
FUL-DISR-000074,ORD-HG-10074,2023-01-11,2023-01,REG-03,3.6,3.4,9.4,9.4,9.4,3.0,3.0,0,1067.16,544,4.79
FUL-DISR-000075,ORD-HG-10075,2023-01-11,2023-01,REG-01,2.2,3.3,6.8,6.8,6.8,3.0,3.0,0,1288.36,647,4.17
FUL-DISR-000076,ORD-HG-10076,2023-01-11,2023-01,REG-03,3.1,4.7,9.2,9.2,9.2,3.0,3.0,0,1502.89,596,3.61
FUL-DISR-000077,ORD-HG-10077,2023-01-11,2023-01,REG-01,2.9,5.1,8.9,8.9,8.9,3.0,3.0,0,1244.63,344,4.65
FUL-DISR-000078,ORD-HG-10078,2023-01-11,2023-01,REG-02,2.5,3.2,7.1,7.1,7.1,3.0,3.0,0,784.89,240,3.55
FUL-DISR-000079,ORD-HG-10079,2023-01-12,2023-01,REG-03,2.1,4.2,8.9,8.9,8.9,3.0,3.0,0,673.85,709,4.71
FUL-DISR-000080,ORD-HG-10080,2023-01-12,2023-01,REG-03,2.6,3.2,9.3,9.3,9.3,3.0,3.0,0,965.24,537,3.85
FUL-DISR-000081,ORD-HG-10081,2023-01-12,2023-01,REG-01,2.1,3.1,7.3,7.3,7.3,3.0,3.0,0,1437.01,502,4.02
FUL-DISR-000082,ORD-HG-10082,2023-01-12,2023-01,REG-01,3.4,4.5,8.9,8.9,8.9,3.0,3.0,0,1282.98,506,3.32
FUL-DISR-000083,ORD-HG-10083,2023-01-12,2023-01,REG-04,3.7,4.4,7.2,7.2,7.2,3.0,3.0,0,832.1,308,4.95
FUL-DISR-000084,ORD-HG-10084,2023-01-12,2023-01,REG-05,4.5,3.8,9.3,9.3,9.3,3.0,3.0,0,1110.84,390,5.33
FUL-DISR-000085,ORD-HG-10085,2023-01-13,2023-01,REG-01,4.0,5.3,4.8,4.8,4.8,3.0,3.0,0,612.78,569,3.23
FUL-DISR-000086,ORD-HG-10086,2023-01-13,2023-01,REG-02,3.8,3.7,5.0,5.0,5.0,3.0,3.0,0,1723.9,345,4.7
FUL-DISR-000087,ORD-HG-10087,2023-01-13,2023-01,REG-02,4.4,5.2,6.5,6.5,6.5,3.0,3.0,0,1505.12,687,5.03
FUL-DISR-000088,ORD-HG-10088,2023-01-13,2023-01,REG-01,3.1,3.3,5.5,5.5,5.5,3.0,3.0,0,1554.87,564,4.01
FUL-DISR-000089,ORD-HG-10089,2023-01-13,2023-01,REG-03,3.9,3.3,6.2,6.2,6.2,3.0,3.0,0,991.4,499,4.25
FUL-DISR-000090,ORD-HG-10090,2023-01-13,2023-01,REG-01,3.7,4.4,5.7,5.7,5.7,3.0,3.0,0,1209.95,719,4.03
FUL-DISR-000091,ORD-HG-10091,2023-01-13,2023-01,REG-04,2.3,4.5,5.7,5.7,5.7,3.0,3.0,0,1173.48,766,4.39
FUL-DISR-000092,ORD-HG-10092,2023-01-13,2023-01,REG-02,3.1,4.5,8.7,8.7,8.7,3.0,3.0,0,969.86,711,5.11
FUL-DISR-000093,ORD-HG-10093,2023-01-13,2023-01,REG-04,2.2,5.1,9.2,9.2,9.2,3.0,3.0,0,926.06,763,5.48
FUL-DISR-000094,ORD-HG-10094,2023-01-14,2023-01,REG-03,3.8,3.1,9.5,9.5,9.5,3.0,3.0,0,948.54,587,4.07
FUL-DISR-000095,ORD-HG-10095,2023-01-14,2023-01,REG-03,3.7,3.9,5.9,5.9,5.9,3.0,3.0,0,1281.91,434,3.25
FUL-DISR-000096,ORD-HG-10096,2023-01-14,2023-01,REG-02,3.9,5.2,4.8,4.8,4.8,3.0,3.0,0,1465.01,634,4.86
FUL-DISR-000097,ORD-HG-10097,2023-01-14,2023-01,REG-01,3.5,5.2,6.6,6.6,6.6,3.0,3.0,0,1323.73,681,4.67
FUL-DISR-000098,ORD-HG-10098,2023-01-14,2023-01,REG-05,2.7,5.3,6.8,6.8,6.8,3.0,3.0,0,456.84,690,3.5
FUL-DISR-000099,ORD-HG-10099,2023-01-15,2023-01,REG-01,3.4,5.1,7.9,7.9,7.9,3.0,3.0,0,1199.14,420,4.65
FUL-DISR-000100,ORD-HG-10100,2023-01-15,2023-01,REG-02,4.2,4.7,6.1,6.1,6.1,3.0,3.0,0,1797.82,449,3.79
FUL-DISR-000101,ORD-HG-10101,2023-01-15,2023-01,REG-01,4.0,4.9,9.1,9.1,9.1,3.0,3.0,0,1608.82,548,3.88
FUL-DISR-000102,ORD-HG-10102,2023-01-15,2023-01,REG-05,3.4,4.3,4.9,4.9,4.9,3.0,3.0,0,579.68,708,3.94
FUL-DISR-000103,ORD-HG-10103,2023-01-15,2023-01,REG-01,2.6,4.6,7.5,7.5,7.5,3.0,3.0,0,812.0,247,4.28
FUL-DISR-000104,ORD-HG-10104,2023-01-15,2023-01,REG-01,4.3,3.7,4.8,4.8,4.8,3.0,3.0,0,1310.71,740,3.02
FUL-DISR-000105,ORD-HG-10105,2023-01-16,2023-01,REG-04,4.2,5.2,7.7,7.7,7.7,3.0,3.0,0,471.99,234,4.87
FUL-DISR-000106,ORD-HG-10106,2023-01-16,2023-01,REG-04,3.5,4.5,7.2,7.2,7.2,3.0,3.0,0,1223.42,361,4.42
FUL-DISR-000107,ORD-HG-10107,2023-01-16,2023-01,REG-04,4.4,4.1,6.7,6.7,6.7,3.0,3.0,0,1303.29,715,3.37
FUL-DISR-000108,ORD-HG-10108,2023-01-16,2023-01,REG-01,3.2,4.0,5.1,5.1,5.1,3.0,3.0,0,1581.4,275,5.5
FUL-DISR-000109,ORD-HG-10109,2023-01-17,2023-01,REG-03,2.3,4.3,5.0,5.0,5.0,3.0,3.0,0,1585.89,224,4.98
FUL-DISR-000110,ORD-HG-10110,2023-01-17,2023-01,REG-03,3.2,5.1,6.4,6.4,6.4,3.0,3.0,0,743.54,284,4.78
FUL-DISR-000111,ORD-HG-10111,2023-01-17,2023-01,REG-02,2.2,4.7,5.8,5.8,5.8,3.0,3.0,0,760.41,634,5.18
FUL-DISR-000112,ORD-HG-10112,2023-01-17,2023-01,REG-02,3.2,5.1,5.6,5.6,5.6,3.0,3.0,0,811.91,242,5.06
FUL-DISR-000113,ORD-HG-10113,2023-01-17,2023-01,REG-03,3.9,5.1,6.8,6.8,6.8,3.0,3.0,0,1729.95,750,3.88
FUL-DISR-000114,ORD-HG-10114,2023-01-17,2023-01,REG-03,3.5,3.9,5.7,5.7,5.7,3.0,3.0,0,1246.06,774,5.34
FUL-DISR-000115,ORD-HG-10115,2023-01-18,2023-01,REG-04,3.5,4.1,6.5,6.5,6.5,3.0,3.0,0,1304.77,362,3.01
FUL-DISR-000116,ORD-HG-10116,2023-01-18,2023-01,REG-02,2.2,3.3,7.2,7.2,7.2,3.0,3.0,0,1216.04,207,5.14
FUL-DISR-000117,ORD-HG-10117,2023-01-18,2023-01,REG-03,2.7,4.4,5.9,5.9,5.9,3.0,3.0,0,1556.45,746,4.52
FUL-DISR-000118,ORD-HG-10118,2023-01-18,2023-01,REG-02,3.4,5.2,6.4,6.4,6.4,3.0,3.0,0,881.51,429,3.67
FUL-DISR-000119,ORD-HG-10119,2023-01-18,2023-01,REG-02,3.7,3.1,5.0,5.0,5.0,3.0,3.0,0,1541.63,277,3.02
FUL-DISR-000120,ORD-HG-10120,2023-01-18,2023-01,REG-01,3.1,4.9,7.7,7.7,7.7,3.0,3.0,0,604.86,488,3.11
FUL-DISR-000121,ORD-HG-10121,2023-01-18,2023-01,REG-01,4.5,4.9,9.1,9.1,9.1,3.0,3.0,0,1518.61,423,3.56
FUL-DISR-000122,ORD-HG-10122,2023-01-18,2023-01,REG-03,2.4,4.4,6.3,6.3,6.3,3.0,3.0,0,1038.63,557,5.48
FUL-DISR-000123,ORD-HG-10123,2023-01-19,2023-01,REG-05,3.9,3.4,5.0,5.0,5.0,3.0,3.0,0,1365.72,536,3.58
FUL-DISR-000124,ORD-HG-10124,2023-01-19,2023-01,REG-05,4.0,4.0,6.0,6.0,6.0,3.0,3.0,0,933.34,531,5.08
FUL-DISR-000125,ORD-HG-10125,2023-01-19,2023-01,REG-03,3.8,3.7,9.3,9.3,9.3,3.0,3.0,0,687.13,504,4.55
FUL-DISR-000126,ORD-HG-10126,2023-01-19,2023-01,REG-04,2.1,3.7,4.7,4.7,4.7,3.0,3.0,0,1733.04,394,5.02
FUL-DISR-000127,ORD-HG-10127,2023-01-19,2023-01,REG-03,4.4,4.2,5.9,5.9,5.9,3.0,3.0,0,867.61,231,3.72
FUL-DISR-000128,ORD-HG-10128,2023-01-19,2023-01,REG-05,3.8,3.4,7.3,7.3,7.3,3.0,3.0,0,1560.55,708,4.6
FUL-DISR-000129,ORD-HG-10129,2023-01-19,2023-01,REG-04,2.4,4.2,4.9,4.9,4.9,3.0,3.0,0,1496.23,319,4.03
FUL-DISR-000130,ORD-HG-10130,2023-01-20,2023-01,REG-01,3.5,5.2,6.3,6.3,6.3,3.0,3.0,0,1228.2,525,3.28
FUL-DISR-000131,ORD-HG-10131,2023-01-20,2023-01,REG-04,3.1,3.6,5.1,5.1,5.1,3.0,3.0,0,890.55,628,5.4
FUL-DISR-000132,ORD-HG-10132,2023-01-20,2023-01,REG-01,4.4,4.9,7.5,7.5,7.5,3.0,3.0,0,1838.05,239,3.19
FUL-DISR-000133,ORD-HG-10133,2023-01-20,2023-01,REG-05,4.3,5.3,8.6,8.6,8.6,3.0,3.0,0,1067.36,405,3.26
FUL-DISR-000134,ORD-HG-10134,2023-01-20,2023-01,REG-03,3.0,3.5,7.8,7.8,7.8,3.0,3.0,0,1577.15,789,4.85
FUL-DISR-000135,ORD-HG-10135,2023-01-20,2023-01,REG-01,3.2,5.4,8.0,8.0,8.0,3.0,3.0,0,1538.45,639,4.65
FUL-DISR-000136,ORD-HG-10136,2023-01-20,2023-01,REG-03,2.2,5.2,4.7,4.7,4.7,3.0,3.0,0,981.76,335,5.4
FUL-DISR-000137,ORD-HG-10137,2023-01-20,2023-01,REG-03,3.4,4.0,9.0,9.0,9.0,3.0,3.0,0,1120.89,309,4.57
FUL-DISR-000138,ORD-HG-10138,2023-01-20,2023-01,REG-02,2.6,3.2,8.8,8.8,8.8,3.0,3.0,0,770.15,681,3.2
FUL-DISR-000139,ORD-HG-10139,2023-01-20,2023-01,REG-03,2.6,4.3,8.1,8.1,8.1,3.0,3.0,0,1254.55,497,4.5
FUL-DISR-000140,ORD-HG-10140,2023-01-20,2023-01,REG-02,2.4,3.7,5.8,5.8,5.8,3.0,3.0,0,1317.97,633,4.07
FUL-DISR-000141,ORD-HG-10141,2023-01-21,2023-01,REG-03,2.9,5.4,6.9,6.9,6.9,3.0,3.0,0,1279.97,332,3.62
FUL-DISR-000142,ORD-HG-10142,2023-01-21,2023-01,REG-03,3.8,3.0,8.2,8.2,8.2,3.0,3.0,0,1538.87,576,4.61
FUL-DISR-000143,ORD-HG-10143,2023-01-21,2023-01,REG-03,3.0,3.7,7.7,7.7,7.7,3.0,3.0,0,1742.2,477,3.32
FUL-DISR-000144,ORD-HG-10144,2023-01-21,2023-01,REG-05,3.9,4.1,6.1,6.1,6.1,3.0,3.0,0,594.21,222,3.07
FUL-DISR-000145,ORD-HG-10145,2023-01-21,2023-01,REG-05,3.5,3.4,7.3,7.3,7.3,3.0,3.0,0,1518.93,230,4.47
FUL-DISR-000146,ORD-HG-10146,2023-01-22,2023-01,REG-05,2.8,4.4,6.3,6.3,6.3,3.0,3.0,0,478.53,467,5.05
FUL-DISR-000147,ORD-HG-10147,2023-01-22,2023-01,REG-05,4.3,5.0,6.6,6.6,6.6,3.0,3.0,0,1119.12,740,3.98
FUL-DISR-000148,ORD-HG-10148,2023-01-22,2023-01,REG-03,3.1,4.7,7.0,7.0,7.0,3.0,3.0,0,1494.87,268,5.01
FUL-DISR-000149,ORD-HG-10149,2023-01-22,2023-01,REG-05,2.7,4.5,4.8,4.8,4.8,3.0,3.0,0,1083.54,360,3.76
FUL-DISR-000150,ORD-HG-10150,2023-01-22,2023-01,REG-05,3.6,4.7,8.5,8.5,8.5,3.0,3.0,0,1353.61,216,3.7
FUL-DISR-000151,ORD-HG-10151,2023-01-22,2023-01,REG-03,4.3,3.9,8.1,8.1,8.1,3.0,3.0,0,1472.8,407,3.82
FUL-DISR-000152,ORD-HG-10152,2023-01-22,2023-01,REG-02,2.6,4.6,6.4,6.4,6.4,3.0,3.0,0,1459.01,671,3.44
FUL-DISR-000153,ORD-HG-10153,2023-01-23,2023-01,REG-02,2.9,3.7,4.6,4.6,4.6,3.0,3.0,0,1458.3,531,4.12
FUL-DISR-000154,ORD-HG-10154,2023-01-23,2023-01,REG-02,2.9,3.3,7.6,7.6,7.6,3.0,3.0,0,1601.13,444,5.05
FUL-DISR-000155,ORD-HG-10155,2023-01-23,2023-01,REG-02,4.1,3.3,6.5,6.5,6.5,3.0,3.0,0,1453.58,670,3.32
FUL-DISR-000156,ORD-HG-10156,2023-01-23,2023-01,REG-01,2.4,3.9,6.3,6.3,6.3,3.0,3.0,0,921.42,344,4.6
FUL-DISR-000157,ORD-HG-10157,2023-01-23,2023-01,REG-05,3.7,5.2,5.7,5.7,5.7,3.0,3.0,0,980.21,466,4.57
FUL-DISR-000158,ORD-HG-10158,2023-01-23,2023-01,REG-02,3.9,4.7,8.5,8.5,8.5,3.0,3.0,0,1559.35,321,3.12
FUL-DISR-000159,ORD-HG-10159,2023-01-23,2023-01,REG-01,3.6,4.4,6.0,6.0,6.0,3.0,3.0,0,1512.04,444,4.72
FUL-DISR-000160,ORD-HG-10160,2023-01-24,2023-01,REG-04,3.5,4.0,5.3,5.3,5.3,3.0,3.0,0,1612.3,785,3.97
FUL-DISR-000161,ORD-HG-10161,2023-01-24,2023-01,REG-02,2.5,3.4,7.7,7.7,7.7,3.0,3.0,0,814.28,410,3.31
FUL-DISR-000162,ORD-HG-10162,2023-01-24,2023-01,REG-01,2.7,4.4,6.0,6.0,6.0,3.0,3.0,0,808.03,426,4.55
FUL-DISR-000163,ORD-HG-10163,2023-01-25,2023-01,REG-02,3.6,5.2,6.7,6.7,6.7,3.0,3.0,0,541.57,491,3.5
FUL-DISR-000164,ORD-HG-10164,2023-01-25,2023-01,REG-04,3.9,3.8,5.8,5.8,5.8,3.0,3.0,0,849.12,373,4.55
FUL-DISR-000165,ORD-HG-10165,2023-01-25,2023-01,REG-03,2.1,5.3,7.7,7.7,7.7,3.0,3.0,0,1588.07,726,4.06
FUL-DISR-000166,ORD-HG-10166,2023-01-25,2023-01,REG-04,4.0,4.7,6.2,6.2,6.2,3.0,3.0,0,883.85,417,3.29
FUL-DISR-000167,ORD-HG-10167,2023-01-26,2023-01,REG-04,3.4,3.9,8.5,8.5,8.5,3.0,3.0,0,1100.84,755,5.02
FUL-DISR-000168,ORD-HG-10168,2023-01-26,2023-01,REG-03,2.3,5.3,6.8,6.8,6.8,3.0,3.0,0,570.12,604,3.66
FUL-DISR-000169,ORD-HG-10169,2023-01-27,2023-01,REG-05,3.3,3.2,5.9,5.9,5.9,3.0,3.0,0,849.66,639,3.04
FUL-DISR-000170,ORD-HG-10170,2023-01-27,2023-01,REG-04,3.0,4.6,7.8,7.8,7.8,3.0,3.0,0,1727.05,303,5.27
FUL-DISR-000171,ORD-HG-10171,2023-01-27,2023-01,REG-03,4.0,4.4,6.4,6.4,6.4,3.0,3.0,0,1728.2,560,4.65
FUL-DISR-000172,ORD-HG-10172,2023-01-27,2023-01,REG-04,4.1,3.7,9.3,9.3,9.3,3.0,3.0,0,1740.72,479,4.82
FUL-DISR-000173,ORD-HG-10173,2023-01-27,2023-01,REG-04,4.1,4.8,7.8,7.8,7.8,3.0,3.0,0,822.29,503,5.07
FUL-DISR-000174,ORD-HG-10174,2023-01-27,2023-01,REG-05,2.5,3.8,6.9,6.9,6.9,3.0,3.0,0,1538.51,218,4.79
