fulfillment_id,order_id,order_date,ship_date,delivery_date,warehouse_id,carrier,region_id,delivery_time_days,sla_target_days,sla_status,shipping_cost,inventory_turnover,defect_rate_pct
FUL-002513,ORD-002513,2023-01-02,2023-01-04,2023-01-07,WH-REG-01,BlueDart Logistics,REG-01,5.9,5,Breached,4248.7,10.2,1.04
FUL-004466,ORD-004466,2023-01-02,2023-01-04,2023-01-07,WH-REG-05,DHL Freight,REG-05,5.7,5,Breached,1786.82,11.7,0.09
FUL-004964,ORD-004964,2023-01-02,2023-01-04,2023-01-07,WH-REG-05,BlueDart Logistics,REG-05,5.3,5,Breached,4208.64,11.1,1.5
FUL-005092,ORD-005092,2023-01-02,2023-01-03,2023-01-03,WH-REG-03,Delhivery Express,REG-03,1.6,3,Compliant,3085.82,11.7,0.21
FUL-005491,ORD-005491,2023-01-02,2023-01-03,2023-01-05,WH-REG-01,FedEx Supply,REG-01,3.4,5,Compliant,2060.14,5.8,1.17
FUL-007487,ORD-007487,2023-01-02,2023-01-03,2023-01-05,WH-REG-04,Ecom Express,REG-04,3.1,5,Compliant,2374.24,10.1,1.46
FUL-000481,ORD-000481,2023-01-03,2023-01-04,2023-01-04,WH-REG-03,BlueDart Logistics,REG-03,1.3,5,Compliant,3029.67,10.0,0.38
FUL-000506,ORD-000506,2023-01-03,2023-01-04,2023-01-05,WH-REG-02,Delhivery Express,REG-02,2.0,5,Compliant,3692.82,9.2,0.41
FUL-001930,ORD-001930,2023-01-03,2023-01-07,2023-01-14,WH-REG-03,Delhivery Express,REG-03,11.0,3,Breached,1632.8,8.9,0.55
FUL-002603,ORD-002603,2023-01-03,2023-01-08,2023-01-17,WH-REG-05,Ecom Express,REG-05,14.0,5,Breached,2343.63,10.1,1.47
FUL-003272,ORD-003272,2023-01-03,2023-01-04,2023-01-06,WH-REG-01,FedEx Supply,REG-01,3.8,5,Compliant,1997.77,7.8,0.38
FUL-005971,ORD-005971,2023-01-03,2023-01-05,2023-01-09,WH-REG-01,Ecom Express,REG-01,6.5,3,Breached,1215.05,10.5,0.76
FUL-006359,ORD-006359,2023-01-03,2023-01-05,2023-01-09,WH-REG-03,Delhivery Express,REG-03,6.1,5,Breached,2100.12,8.4,0.43
FUL-006762,ORD-006762,2023-01-03,2023-01-05,2023-01-08,WH-REG-04,Ecom Express,REG-04,5.1,5,Breached,4014.87,8.1,1.71
FUL-007031,ORD-007031,2023-01-03,2023-01-04,2023-01-05,WH-REG-01,Ecom Express,REG-01,2.7,5,Compliant,2836.08,9.1,1.71
FUL-007657,ORD-007657,2023-01-03,2023-01-04,2023-01-05,WH-REG-01,Delhivery Express,REG-01,2.1,5,Compliant,1822.97,9.2,0.49
FUL-008338,ORD-008338,2023-01-03,2023-01-04,2023-01-05,WH-REG-05,FedEx Supply,REG-05,2.8,5,Compliant,3286.93,7.5,0.54
FUL-008483,ORD-008483,2023-01-03,2023-01-05,2023-01-08,WH-REG-05,FedEx Supply,REG-05,5.6,3,Breached,3110.37,7.5,1.57
FUL-001307,ORD-001307,2023-01-04,2023-01-05,2023-01-05,WH-REG-02,FedEx Supply,REG-02,1.7,3,Compliant,1280.89,6.4,0.66
FUL-001350,ORD-001350,2023-01-04,2023-01-05,2023-01-05,WH-REG-04,Ecom Express,REG-04,1.7,5,Compliant,3470.34,6.9,0.86
FUL-002868,ORD-002868,2023-01-04,2023-01-05,2023-01-05,WH-REG-01,Ecom Express,REG-01,1.7,5,Compliant,2803.02,10.6,0.79
FUL-003160,ORD-003160,2023-01-04,2023-01-05,2023-01-05,WH-REG-01,DHL Freight,REG-01,1.8,5,Compliant,1622.2,7.6,1.08
FUL-005914,ORD-005914,2023-01-04,2023-01-06,2023-01-09,WH-REG-01,FedEx Supply,REG-01,5.3,5,Breached,4209.94,10.2,1.61
FUL-006074,ORD-006074,2023-01-04,2023-01-06,2023-01-09,WH-REG-02,BlueDart Logistics,REG-02,5.9,5,Breached,3911.86,8.2,0.02
FUL-006867,ORD-006867,2023-01-04,2023-01-05,2023-01-07,WH-REG-02,DHL Freight,REG-02,3.7,5,Compliant,1644.75,11.8,1.7
FUL-006945,ORD-006945,2023-01-04,2023-01-05,2023-01-08,WH-REG-03,DHL Freight,REG-03,4.3,5,Compliant,3082.1,7.2,1.3
FUL-007928,ORD-007928,2023-01-04,2023-01-05,2023-01-07,WH-REG-02,Ecom Express,REG-02,3.4,5,Compliant,2597.9,11.7,1.74
FUL-002197,ORD-002197,2023-01-05,2023-01-06,2023-01-06,WH-REG-03,Ecom Express,REG-03,1.8,3,Compliant,3626.79,9.3,1.41
FUL-003040,ORD-003040,2023-01-05,2023-01-06,2023-01-09,WH-REG-04,Delhivery Express,REG-04,4.3,5,Compliant,4262.2,6.0,1.02
FUL-003218,ORD-003218,2023-01-05,2023-01-07,2023-01-11,WH-REG-04,Delhivery Express,REG-04,6.1,5,Breached,898.02,8.8,0.43
FUL-004060,ORD-004060,2023-01-05,2023-01-06,2023-01-09,WH-REG-02,Ecom Express,REG-02,4.8,3,Breached,889.79,8.8,0.07
FUL-004086,ORD-004086,2023-01-05,2023-01-06,2023-01-06,WH-REG-02,FedEx Supply,REG-02,1.7,5,Compliant,2362.96,8.8,0.83
FUL-006350,ORD-006350,2023-01-05,2023-01-07,2023-01-10,WH-REG-04,DHL Freight,REG-04,5.5,5,Breached,1437.8,11.6,0.85
FUL-006594,ORD-006594,2023-01-05,2023-01-07,2023-01-11,WH-REG-01,DHL Freight,REG-01,6.4,5,Breached,4045.74,7.0,0.32
FUL-006764,ORD-006764,2023-01-05,2023-01-07,2023-01-10,WH-REG-04,Ecom Express,REG-04,5.8,5,Breached,1963.32,8.2,1.57
FUL-002178,ORD-002178,2023-01-06,2023-01-07,2023-01-07,WH-REG-02,FedEx Supply,REG-02,1.7,5,Compliant,1830.2,7.7,1.08
FUL-002482,ORD-002482,2023-01-06,2023-01-07,2023-01-07,WH-REG-03,BlueDart Logistics,REG-03,1.6,5,Compliant,3586.01,7.2,0.44
FUL-004121,ORD-004121,2023-01-06,2023-01-07,2023-01-08,WH-REG-03,FedEx Supply,REG-03,2.8,5,Compliant,1175.79,6.4,1.18
FUL-004136,ORD-004136,2023-01-06,2023-01-08,2023-01-12,WH-REG-02,Ecom Express,REG-02,6.7,3,Breached,3211.72,9.1,0.91
FUL-004894,ORD-004894,2023-01-06,2023-01-07,2023-01-07,WH-REG-01,Delhivery Express,REG-01,1.6,3,Compliant,4352.69,7.1,1.58
FUL-005951,ORD-005951,2023-01-06,2023-01-07,2023-01-10,WH-REG-05,Ecom Express,REG-05,4.4,5,Compliant,1704.84,10.1,1.79
FUL-005975,ORD-005975,2023-01-06,2023-01-07,2023-01-08,WH-REG-03,Delhivery Express,REG-03,2.0,5,Compliant,3468.81,11.2,1.66
FUL-007573,ORD-007573,2023-01-06,2023-01-07,2023-01-09,WH-REG-04,DHL Freight,REG-04,3.6,5,Compliant,3011.25,10.7,0.08
FUL-008356,ORD-008356,2023-01-06,2023-01-08,2023-01-12,WH-REG-05,DHL Freight,REG-05,6.1,5,Breached,2848.32,8.0,0.99
FUL-000184,ORD-000184,2023-01-07,2023-01-08,2023-01-10,WH-REG-02,DHL Freight,REG-02,3.7,5,Compliant,4245.51,9.4,1.2
FUL-000313,ORD-000313,2023-01-07,2023-01-08,2023-01-10,WH-REG-02,DHL Freight,REG-02,3.9,5,Compliant,3961.03,8.2,1.04
FUL-000492,ORD-000492,2023-01-07,2023-01-08,2023-01-11,WH-REG-03,FedEx Supply,REG-03,4.9,5,Compliant,3007.97,6.4,1.32
FUL-004003,ORD-004003,2023-01-07,2023-01-08,2023-01-10,WH-REG-01,Delhivery Express,REG-01,3.2,5,Compliant,1039.06,6.9,0.29
FUL-004157,ORD-004157,2023-01-07,2023-01-08,2023-01-10,WH-REG-04,Delhivery Express,REG-04,3.6,5,Compliant,2417.8,5.9,0.4
FUL-005931,ORD-005931,2023-01-07,2023-01-08,2023-01-11,WH-REG-04,DHL Freight,REG-04,4.8,5,Compliant,1939.31,9.6,0.04
FUL-006908,ORD-006908,2023-01-07,2023-01-08,2023-01-11,WH-REG-03,FedEx Supply,REG-03,4.1,5,Compliant,1120.25,11.4,1.31
FUL-007852,ORD-007852,2023-01-07,2023-01-09,2023-01-13,WH-REG-03,FedEx Supply,REG-03,6.5,5,Breached,2652.3,11.1,0.03
FUL-008099,ORD-008099,2023-01-07,2023-01-08,2023-01-10,WH-REG-01,FedEx Supply,REG-01,3.0,5,Compliant,1218.01,11.6,1.46
FUL-001492,ORD-001492,2023-01-08,2023-01-10,2023-01-13,WH-REG-05,Ecom Express,REG-05,5.9,5,Breached,2134.04,8.0,0.0
FUL-001640,ORD-001640,2023-01-08,2023-01-09,2023-01-10,WH-REG-02,Ecom Express,REG-02,2.8,5,Compliant,2137.14,6.9,0.94
FUL-002016,ORD-002016,2023-01-08,2023-01-09,2023-01-09,WH-REG-05,DHL Freight,REG-05,1.5,5,Compliant,4446.35,10.6,0.91
FUL-002491,ORD-002491,2023-01-08,2023-01-09,2023-01-10,WH-REG-04,Ecom Express,REG-04,2.3,5,Compliant,1396.7,9.0,1.31
FUL-003062,ORD-003062,2023-01-08,2023-01-10,2023-01-13,WH-REG-05,Ecom Express,REG-05,5.3,5,Breached,4049.18,8.9,0.91
FUL-003438,ORD-003438,2023-01-08,2023-01-09,2023-01-09,WH-REG-03,BlueDart Logistics,REG-03,1.4,5,Compliant,2092.88,11.3,1.38
FUL-004968,ORD-004968,2023-01-08,2023-01-09,2023-01-12,WH-REG-01,Delhivery Express,REG-01,4.2,5,Compliant,1987.48,7.5,0.35
FUL-005012,ORD-005012,2023-01-08,2023-01-10,2023-01-13,WH-REG-05,Delhivery Express,REG-05,5.4,3,Breached,4312.25,10.5,1.56
FUL-008380,ORD-008380,2023-01-08,2023-01-10,2023-01-13,WH-REG-05,DHL Freight,REG-05,5.8,5,Breached,1702.48,8.5,0.8
FUL-002272,ORD-002272,2023-01-09,2023-01-10,2023-01-13,WH-REG-03,Delhivery Express,REG-03,4.0,5,Compliant,1358.45,11.2,0.05
FUL-004419,ORD-004419,2023-01-09,2023-01-10,2023-01-10,WH-REG-05,FedEx Supply,REG-05,1.5,5,Compliant,1922.38,11.3,1.42
FUL-005840,ORD-005840,2023-01-09,2023-01-10,2023-01-13,WH-REG-04,DHL Freight,REG-04,4.4,3,Breached,3047.67,10.3,0.8
FUL-006031,ORD-006031,2023-01-09,2023-01-11,2023-01-14,WH-REG-05,Ecom Express,REG-05,5.9,5,Breached,1808.44,6.2,0.67
FUL-000046,ORD-000046,2023-01-10,2023-01-14,2023-01-21,WH-REG-03,FedEx Supply,REG-03,11.3,5,Breached,1818.12,7.4,1.59
FUL-001562,ORD-001562,2023-01-10,2023-01-11,2023-01-14,WH-REG-03,DHL Freight,REG-03,4.1,5,Compliant,1975.35,8.7,1.38
FUL-002558,ORD-002558,2023-01-10,2023-01-11,2023-01-12,WH-REG-01,BlueDart Logistics,REG-01,2.7,5,Compliant,3987.31,8.9,1.63
FUL-005415,ORD-005415,2023-01-10,2023-01-12,2023-01-15,WH-REG-01,DHL Freight,REG-01,5.8,5,Breached,3941.92,10.0,0.14
FUL-005777,ORD-005777,2023-01-10,2023-01-11,2023-01-14,WH-REG-03,DHL Freight,REG-03,4.6,5,Compliant,1338.37,9.7,0.21
FUL-006415,ORD-006415,2023-01-10,2023-01-11,2023-01-14,WH-REG-01,DHL Freight,REG-01,4.7,5,Compliant,3144.22,8.9,0.72
FUL-006537,ORD-006537,2023-01-10,2023-01-11,2023-01-12,WH-REG-04,BlueDart Logistics,REG-04,2.9,5,Compliant,2323.84,5.6,0.42
FUL-000792,ORD-000792,2023-01-11,2023-01-13,2023-01-16,WH-REG-01,Ecom Express,REG-01,5.1,5,Breached,1981.01,9.4,1.39
FUL-001716,ORD-001716,2023-01-11,2023-01-12,2023-01-12,WH-REG-02,FedEx Supply,REG-02,1.8,3,Compliant,4478.51,10.5,1.04
FUL-005493,ORD-005493,2023-01-11,2023-01-12,2023-01-13,WH-REG-01,Ecom Express,REG-01,2.9,5,Compliant,4297.78,10.8,0.68
FUL-000837,ORD-000837,2023-01-12,2023-01-13,2023-01-14,WH-REG-05,DHL Freight,REG-05,2.8,5,Compliant,1733.34,11.5,0.8
FUL-004898,ORD-004898,2023-01-12,2023-01-14,2023-01-17,WH-REG-02,DHL Freight,REG-02,5.5,5,Breached,2103.9,9.9,0.75
FUL-005744,ORD-005744,2023-01-12,2023-01-13,2023-01-15,WH-REG-02,BlueDart Logistics,REG-02,3.3,5,Compliant,1098.43,6.2,1.77
FUL-006765,ORD-006765,2023-01-12,2023-01-14,2023-01-17,WH-REG-01,DHL Freight,REG-01,5.7,5,Breached,3809.65,6.4,1.78
FUL-008278,ORD-008278,2023-01-12,2023-01-14,2023-01-18,WH-REG-02,BlueDart Logistics,REG-02,6.3,5,Breached,2755.86,9.1,0.54
FUL-001872,ORD-001872,2023-01-13,2023-01-14,2023-01-16,WH-REG-02,FedEx Supply,REG-02,3.5,5,Compliant,3522.16,7.6,0.37
FUL-002001,ORD-002001,2023-01-13,2023-01-14,2023-01-14,WH-REG-05,BlueDart Logistics,REG-05,1.9,3,Compliant,1454.19,11.6,1.66
FUL-002402,ORD-002402,2023-01-13,2023-01-14,2023-01-15,WH-REG-05,Ecom Express,REG-05,2.3,5,Compliant,1827.96,5.9,1.2
FUL-005751,ORD-005751,2023-01-13,2023-01-14,2023-01-14,WH-REG-02,BlueDart Logistics,REG-02,1.5,5,Compliant,1321.72,9.7,1.45
FUL-006143,ORD-006143,2023-01-13,2023-01-14,2023-01-16,WH-REG-05,FedEx Supply,REG-05,3.8,5,Compliant,1190.34,8.6,0.56
FUL-007233,ORD-007233,2023-01-13,2023-01-14,2023-01-14,WH-REG-02,DHL Freight,REG-02,1.7,3,Compliant,3810.82,6.7,1.6
FUL-000520,ORD-000520,2023-01-14,2023-01-15,2023-01-15,WH-REG-01,Ecom Express,REG-01,1.5,5,Compliant,1480.77,10.0,0.58
FUL-000647,ORD-000647,2023-01-14,2023-01-15,2023-01-16,WH-REG-04,Delhivery Express,REG-04,2.7,5,Compliant,3585.79,5.7,0.92
FUL-000750,ORD-000750,2023-01-14,2023-01-15,2023-01-15,WH-REG-04,DHL Freight,REG-04,1.4,5,Compliant,2738.51,8.4,1.42
FUL-002627,ORD-002627,2023-01-14,2023-01-15,2023-01-17,WH-REG-03,Delhivery Express,REG-03,3.5,5,Compliant,2054.76,7.5,0.32
FUL-003059,ORD-003059,2023-01-14,2023-01-15,2023-01-15,WH-REG-03,DHL Freight,REG-03,1.5,5,Compliant,3129.51,7.6,0.19
FUL-003409,ORD-003409,2023-01-14,2023-01-15,2023-01-17,WH-REG-05,FedEx Supply,REG-05,3.4,5,Compliant,3134.37,5.5,1.66
FUL-004407,ORD-004407,2023-01-14,2023-01-15,2023-01-18,WH-REG-02,Delhivery Express,REG-02,4.4,5,Compliant,3710.5,10.1,1.39
FUL-004487,ORD-004487,2023-01-14,2023-01-15,2023-01-18,WH-REG-04,Ecom Express,REG-04,4.8,5,Compliant,2707.02,10.0,0.74
FUL-005567,ORD-005567,2023-01-14,2023-01-16,2023-01-19,WH-REG-03,Delhivery Express,REG-03,5.8,5,Breached,3525.04,9.3,0.63
FUL-006040,ORD-006040,2023-01-14,2023-01-16,2023-01-20,WH-REG-05,FedEx Supply,REG-05,6.1,5,Breached,1479.22,5.6,1.61
FUL-006433,ORD-006433,2023-01-14,2023-01-16,2023-01-20,WH-REG-01,Delhivery Express,REG-01,6.5,3,Breached,2025.95,9.4,1.26
FUL-006828,ORD-006828,2023-01-14,2023-01-16,2023-01-20,WH-REG-02,BlueDart Logistics,REG-02,6.6,5,Breached,1866.53,6.5,1.68
FUL-008200,ORD-008200,2023-01-14,2023-01-15,2023-01-16,WH-REG-03,Ecom Express,REG-03,2.3,5,Compliant,3255.43,11.4,0.99
FUL-000210,ORD-000210,2023-01-15,2023-01-16,2023-01-19,WH-REG-03,FedEx Supply,REG-03,4.7,5,Compliant,3348.98,7.4,1.22
FUL-000754,ORD-000754,2023-01-15,2023-01-16,2023-01-19,WH-REG-03,DHL Freight,REG-03,4.6,5,Compliant,2513.28,7.0,0.15
FUL-001739,ORD-001739,2023-01-15,2023-01-16,2023-01-19,WH-REG-03,DHL Freight,REG-03,4.7,5,Compliant,4112.92,10.4,0.03
FUL-001999,ORD-001999,2023-01-15,2023-01-17,2023-01-21,WH-REG-02,BlueDart Logistics,REG-02,6.2,5,Breached,4004.02,8.9,0.45
FUL-002060,ORD-002060,2023-01-15,2023-01-20,2023-01-29,WH-REG-01,BlueDart Logistics,REG-01,14.0,5,Breached,1478.86,5.6,0.85
FUL-002119,ORD-002119,2023-01-15,2023-01-17,2023-01-20,WH-REG-03,DHL Freight,REG-03,5.3,5,Breached,3134.41,9.6,0.76
FUL-003536,ORD-003536,2023-01-15,2023-01-16,2023-01-16,WH-REG-05,Delhivery Express,REG-05,1.2,5,Compliant,1510.59,6.3,0.31
FUL-003957,ORD-003957,2023-01-15,2023-01-16,2023-01-16,WH-REG-02,Ecom Express,REG-02,1.8,5,Compliant,1597.51,10.8,1.71
FUL-003991,ORD-003991,2023-01-15,2023-01-17,2023-01-20,WH-REG-04,Delhivery Express,REG-04,5.5,5,Breached,3466.66,6.6,0.27
FUL-004233,ORD-004233,2023-01-15,2023-01-16,2023-01-17,WH-REG-01,Delhivery Express,REG-01,2.5,5,Compliant,1827.92,11.2,1.62
FUL-006103,ORD-006103,2023-01-15,2023-01-16,2023-01-19,WH-REG-01,BlueDart Logistics,REG-01,4.1,5,Compliant,4259.54,7.2,1.2
FUL-006124,ORD-006124,2023-01-15,2023-01-16,2023-01-19,WH-REG-04,Ecom Express,REG-04,4.5,5,Compliant,2828.09,11.9,1.2
FUL-006711,ORD-006711,2023-01-15,2023-01-16,2023-01-17,WH-REG-02,Delhivery Express,REG-02,2.4,5,Compliant,1313.2,10.2,0.9
FUL-007825,ORD-007825,2023-01-15,2023-01-17,2023-01-20,WH-REG-01,DHL Freight,REG-01,5.4,5,Breached,1286.03,8.4,1.05
FUL-008072,ORD-008072,2023-01-15,2023-01-16,2023-01-19,WH-REG-02,BlueDart Logistics,REG-02,4.0,3,Breached,2707.95,11.6,0.35
FUL-000455,ORD-000455,2023-01-16,2023-01-17,2023-01-18,WH-REG-03,BlueDart Logistics,REG-03,2.5,5,Compliant,4269.22,10.2,1.25
FUL-000818,ORD-000818,2023-01-16,2023-01-17,2023-01-17,WH-REG-02,Delhivery Express,REG-02,1.7,5,Compliant,3266.34,7.2,1.49
FUL-002300,ORD-002300,2023-01-16,2023-01-18,2023-01-22,WH-REG-04,Delhivery Express,REG-04,6.4,5,Breached,1814.08,9.5,0.93
FUL-002353,ORD-002353,2023-01-16,2023-01-18,2023-01-22,WH-REG-03,Ecom Express,REG-03,6.7,5,Breached,3668.79,6.6,0.3
FUL-004563,ORD-004563,2023-01-16,2023-01-17,2023-01-20,WH-REG-03,FedEx Supply,REG-03,4.6,5,Compliant,1582.34,7.1,0.39
FUL-004661,ORD-004661,2023-01-16,2023-01-17,2023-01-20,WH-REG-01,FedEx Supply,REG-01,4.8,5,Compliant,3709.01,7.2,0.79
FUL-006844,ORD-006844,2023-01-16,2023-01-17,2023-01-18,WH-REG-03,Delhivery Express,REG-03,2.0,5,Compliant,4151.81,5.8,1.79
FUL-000755,ORD-000755,2023-01-17,2023-01-19,2023-01-22,WH-REG-02,BlueDart Logistics,REG-02,5.9,3,Breached,1749.81,8.5,1.15
FUL-001707,ORD-001707,2023-01-17,2023-01-19,2023-01-23,WH-REG-01,Delhivery Express,REG-01,6.5,3,Breached,2243.69,11.7,1.37
FUL-002294,ORD-002294,2023-01-17,2023-01-18,2023-01-21,WH-REG-02,FedEx Supply,REG-02,4.5,5,Compliant,2625.82,10.3,0.17
FUL-002552,ORD-002552,2023-01-17,2023-01-18,2023-01-20,WH-REG-01,FedEx Supply,REG-01,3.8,5,Compliant,1699.04,8.8,1.79
FUL-006301,ORD-006301,2023-01-17,2023-01-19,2023-01-22,WH-REG-02,DHL Freight,REG-02,5.5,3,Breached,986.05,10.2,0.44
FUL-008174,ORD-008174,2023-01-17,2023-01-19,2023-01-23,WH-REG-01,Ecom Express,REG-01,6.3,5,Breached,3313.39,9.4,0.59
FUL-008281,ORD-008281,2023-01-17,2023-01-19,2023-01-22,WH-REG-05,FedEx Supply,REG-05,5.0,3,Breached,3631.53,6.6,1.71
FUL-000399,ORD-000399,2023-01-18,2023-01-19,2023-01-19,WH-REG-02,Ecom Express,REG-02,1.9,5,Compliant,4140.41,9.6,0.83
FUL-002416,ORD-002416,2023-01-18,2023-01-19,2023-01-20,WH-REG-01,Delhivery Express,REG-01,2.8,5,Compliant,2946.67,6.5,1.1
FUL-005284,ORD-005284,2023-01-18,2023-01-19,2023-01-22,WH-REG-05,FedEx Supply,REG-05,4.9,3,Breached,2046.19,8.4,0.21
FUL-007441,ORD-007441,2023-01-18,2023-01-20,2023-01-24,WH-REG-01,Delhivery Express,REG-01,6.2,5,Breached,1048.44,10.2,0.86
FUL-007521,ORD-007521,2023-01-18,2023-01-19,2023-01-19,WH-REG-03,BlueDart Logistics,REG-03,1.6,3,Compliant,3178.92,8.0,0.6
FUL-007890,ORD-007890,2023-01-18,2023-01-20,2023-01-24,WH-REG-04,DHL Freight,REG-04,6.1,3,Breached,2194.56,8.2,0.08
FUL-004971,ORD-004971,2023-01-19,2023-01-21,2023-01-25,WH-REG-03,FedEx Supply,REG-03,6.1,5,Breached,3057.71,8.8,1.09
FUL-000142,ORD-000142,2023-01-20,2023-01-22,2023-01-25,WH-REG-01,BlueDart Logistics,REG-01,5.6,5,Breached,1304.3,9.6,0.72
FUL-001042,ORD-001042,2023-01-20,2023-01-22,2023-01-26,WH-REG-05,Ecom Express,REG-05,6.2,3,Breached,2730.64,10.8,0.42
FUL-001433,ORD-001433,2023-01-20,2023-01-22,2023-01-26,WH-REG-05,FedEx Supply,REG-05,6.7,5,Breached,1344.75,10.2,1.21
FUL-001547,ORD-001547,2023-01-20,2023-01-21,2023-01-24,WH-REG-01,BlueDart Logistics,REG-01,4.3,5,Compliant,1290.4,10.7,0.96
FUL-001557,ORD-001557,2023-01-20,2023-01-22,2023-01-25,WH-REG-01,BlueDart Logistics,REG-01,5.6,3,Breached,3733.53,10.8,0.03
FUL-001657,ORD-001657,2023-01-20,2023-01-21,2023-01-24,WH-REG-04,Ecom Express,REG-04,4.7,5,Compliant,3916.6,11.1,0.92
FUL-003012,ORD-003012,2023-01-20,2023-01-21,2023-01-22,WH-REG-01,BlueDart Logistics,REG-01,2.3,5,Compliant,1601.16,7.1,1.49
FUL-003216,ORD-003216,2023-01-20,2023-01-21,2023-01-21,WH-REG-04,Delhivery Express,REG-04,1.8,3,Compliant,2934.87,5.7,1.43
FUL-007515,ORD-007515,2023-01-20,2023-01-21,2023-01-24,WH-REG-03,FedEx Supply,REG-03,4.3,5,Compliant,3982.27,9.0,1.64
FUL-001523,ORD-001523,2023-01-21,2023-01-22,2023-01-25,WH-REG-01,Ecom Express,REG-01,4.2,5,Compliant,2912.8,8.5,1.78
FUL-001728,ORD-001728,2023-01-21,2023-01-23,2023-01-26,WH-REG-05,Delhivery Express,REG-05,5.1,5,Breached,1336.08,8.9,1.5
FUL-003549,ORD-003549,2023-01-21,2023-01-22,2023-01-25,WH-REG-05,Ecom Express,REG-05,4.5,3,Breached,1708.79,9.8,1.44
FUL-004282,ORD-004282,2023-01-21,2023-01-22,2023-01-24,WH-REG-05,Ecom Express,REG-05,3.4,5,Compliant,1193.62,6.7,0.07
FUL-004841,ORD-004841,2023-01-21,2023-01-23,2023-01-27,WH-REG-01,FedEx Supply,REG-01,6.5,5,Breached,2900.55,11.4,1.64
FUL-005370,ORD-005370,2023-01-21,2023-01-22,2023-01-25,WH-REG-03,Delhivery Express,REG-03,4.2,5,Compliant,2962.62,10.4,1.64
FUL-007547,ORD-007547,2023-01-21,2023-01-22,2023-01-24,WH-REG-05,Ecom Express,REG-05,3.4,5,Compliant,3218.97,11.7,1.26
FUL-008156,ORD-008156,2023-01-21,2023-01-23,2023-01-26,WH-REG-02,DHL Freight,REG-02,5.9,3,Breached,1844.86,5.9,0.49
FUL-001051,ORD-001051,2023-01-22,2023-01-23,2023-01-25,WH-REG-01,Ecom Express,REG-01,3.2,3,Breached,2102.13,8.4,1.2
FUL-002822,ORD-002822,2023-01-22,2023-01-23,2023-01-25,WH-REG-04,Delhivery Express,REG-04,3.0,5,Compliant,1684.23,11.9,1.33
FUL-002977,ORD-002977,2023-01-22,2023-01-23,2023-01-26,WH-REG-05,BlueDart Logistics,REG-05,4.1,3,Breached,2686.54,7.0,0.32
FUL-003760,ORD-003760,2023-01-22,2023-01-23,2023-01-24,WH-REG-05,Delhivery Express,REG-05,2.1,5,Compliant,4235.34,6.7,1.66
FUL-001806,ORD-001806,2023-01-23,2023-01-24,2023-01-25,WH-REG-03,FedEx Supply,REG-03,2.1,5,Compliant,3925.46,10.6,0.3
FUL-002954,ORD-002954,2023-01-23,2023-01-24,2023-01-25,WH-REG-04,Delhivery Express,REG-04,2.6,5,Compliant,3408.88,5.9,0.4
FUL-003903,ORD-003903,2023-01-23,2023-01-24,2023-01-26,WH-REG-05,DHL Freight,REG-05,3.3,5,Compliant,2828.81,8.4,0.75
FUL-005116,ORD-005116,2023-01-23,2023-01-25,2023-01-28,WH-REG-05,FedEx Supply,REG-05,5.6,5,Breached,2547.7,9.7,0.84
