customer_id,customer_name,segment,region_id,acquisition_date,lifetime_value,credit_score,retention_status,churn_date
CUST-0058,Horizon Digital 81,Startup,REG-03,2025-08-30,238812.5,733,Active,
CUST-0059,Paramount Holdings 80,Government,REG-02,2025-01-31,477672.71,735,Active,
CUST-0060,Starlight Enterprises 76,Government,REG-02,2023-10-09,287942.67,802,Active,
CUST-0061,Quantum Industries 50,Startup,REG-01,2023-05-22,87707.66,718,Active,
CUST-0062,Starlight Systems 63,Government,REG-03,2024-07-09,299665.94,635,Active,
CUST-0063,Omni Holdings 84,Enterprise,REG-05,2024-01-25,592357.27,710,Active,
CUST-0064,Omni Holdings 78,Startup,REG-05,2025-07-08,105134.67,676,Active,
CUST-0065,Horizon Tech 59,SMB,REG-04,2025-01-11,91261.18,739,Active,
CUST-0066,Titan Digital 13,Government,REG-05,2024-07-31,388349.89,641,Active,
CUST-0067,Nexus Labs 33,Enterprise,REG-03,2024-01-24,461433.58,736,Active,
CUST-0068,Omni Enterprises 63,SMB,REG-01,2024-04-26,54845.82,758,Churned,2025-01-20
CUST-0069,Starlight Systems 93,Enterprise,REG-01,2025-08-30,391372.89,834,Churned,2026-02-14
CUST-0070,Starlight Solutions 70,Enterprise,REG-05,2025-08-28,365718.97,799,Active,
CUST-0071,Synergy Solutions 87,Startup,REG-01,2025-03-07,254825.29,699,Churned,2025-06-18
CUST-0072,Quantum Holdings 60,Mid-Market,REG-01,2024-08-29,489837.93,780,Active,
CUST-0073,Quantum Systems 82,Enterprise,REG-03,2024-06-29,549830.76,714,Churned,2025-03-20
CUST-0074,Apex Holdings 72,Enterprise,REG-04,2025-09-10,491914.53,848,Active,
CUST-0075,Nexus Holdings 32,Startup,REG-03,2024-09-22,252049.8,757,Active,
CUST-0076,Horizon Holdings 85,SMB,REG-03,2025-05-22,111373.79,642,Active,
CUST-0077,Horizon Dynamics 69,Startup,REG-05,2024-11-15,144747.33,627,Active,
CUST-0078,Synergy Solutions 72,Mid-Market,REG-03,2025-03-27,252093.82,691,Active,
CUST-0079,Quantum Digital 11,Startup,REG-02,2023-03-29,110339.01,724,Active,
CUST-0080,Starlight Labs 92,Government,REG-04,2025-03-22,97759.47,695,Active,
CUST-0081,Starlight Enterprises 94,Startup,REG-03,2024-04-29,188368.24,708,Active,
CUST-0082,Paramount Industries 55,Government,REG-03,2023-11-10,203131.65,650,Active,
CUST-0083,Synergy Systems 78,Mid-Market,REG-02,2023-08-10,516232.56,690,Active,
CUST-0084,Paramount Enterprises 22,Mid-Market,REG-03,2023-08-21,308484.59,697,Churned,2024-08-18
CUST-0085,Nexus Enterprises 15,Enterprise,REG-05,2023-10-27,785240.22,652,Active,
CUST-0086,Horizon Systems 11,Startup,REG-03,2024-04-25,169678.55,707,Active,
CUST-0087,Apex Enterprises 71,Enterprise,REG-01,2024-02-15,605278.24,767,Active,
CUST-0088,Apex Solutions 29,Startup,REG-03,2023-03-29,298479.53,650,Active,
CUST-0089,Omni Dynamics 76,Government,REG-04,2025-07-19,289224.45,840,Active,
CUST-0090,Omni Enterprises 82,Startup,REG-01,2024-09-16,290027.19,645,Active,
CUST-0091,Starlight Dynamics 43,Enterprise,REG-02,2023-09-03,327086.85,639,Active,
CUST-0092,Omni Labs 98,Startup,REG-04,2023-10-26,58159.96,693,Active,
CUST-0093,Horizon Systems 97,Mid-Market,REG-03,2025-03-17,545186.26,770,Active,
CUST-0094,Starlight Holdings 24,Startup,REG-02,2024-10-25,87247.35,688,Active,
CUST-0095,Vanguard Tech 31,SMB,REG-05,2025-02-05,256060.08,693,Active,
CUST-0096,Horizon Enterprises 99,Government,REG-03,2024-05-27,332991.7,732,Churned,2024-09-14
CUST-0097,Omni Industries 87,SMB,REG-01,2023-04-04,107231.1,792,Active,
CUST-0098,Titan Tech 96,SMB,REG-05,2023-02-11,240777.25,664,Active,
CUST-0099,Horizon Enterprises 33,Startup,REG-04,2024-10-12,253561.24,643,Active,
CUST-0100,Omni Industries 51,Enterprise,REG-02,2023-12-04,535189.45,746,Active,
CUST-0101,Omni Digital 14,Government,REG-01,2023-11-19,203579.48,649,Active,
CUST-0102,Omni Digital 10,Startup,REG-04,2024-02-28,63551.02,752,Active,
CUST-0103,Horizon Labs 16,Mid-Market,REG-03,2024-07-16,182057.28,693,Active,
CUST-0104,Horizon Systems 13,Startup,REG-02,2024-12-27,89594.54,761,Churned,2025-10-21
CUST-0105,Vanguard Dynamics 24,Government,REG-01,2024-10-25,464464.43,747,Active,
CUST-0106,Quantum Digital 44,Government,REG-04,2025-09-30,302498.9,736,Active,
CUST-0107,Omni Dynamics 86,Startup,REG-02,2025-06-03,67452.52,817,Active,
CUST-0108,Omni Industries 74,SMB,REG-01,2023-10-17,231512.75,834,Active,
CUST-0109,Horizon Solutions 67,Startup,REG-04,2023-12-20,133109.99,815,Active,
CUST-0110,Horizon Industries 34,Mid-Market,REG-05,2024-01-28,238459.35,818,Active,
CUST-0111,Synergy Labs 58,Government,REG-02,2024-05-22,524171.0,652,Active,
CUST-0112,Titan Industries 22,Government,REG-01,2024-06-22,499698.75,623,Active,
CUST-0113,Omni Solutions 19,Government,REG-03,2023-12-13,370466.73,721,Active,
CUST-0114,Synergy Digital 58,SMB,REG-04,2025-06-12,185254.0,778,Churned,2026-02-04
CUST-0115,Starlight Systems 65,Enterprise,REG-01,2024-03-30,320569.19,696,Active,
CUST-0116,Apex Industries 17,SMB,REG-03,2024-01-19,157671.7,682,Active,
CUST-0117,Titan Solutions 31,Mid-Market,REG-01,2024-09-16,588961.78,778,Active,
CUST-0118,Horizon Solutions 39,Government,REG-03,2024-04-15,204897.02,622,Active,
CUST-0119,Horizon Enterprises 96,Startup,REG-02,2023-03-17,160432.45,708,Active,
CUST-0120,Quantum Holdings 98,SMB,REG-04,2025-05-15,125530.42,718,Active,
CUST-0121,Vanguard Dynamics 58,Startup,REG-03,2024-08-11,123968.1,799,Active,
CUST-0122,Omni Enterprises 11,Startup,REG-01,2025-07-21,201601.62,747,Active,
CUST-0123,Quantum Dynamics 87,SMB,REG-02,2024-10-13,97533.0,684,Active,
CUST-0124,Nexus Systems 90,Enterprise,REG-03,2025-03-18,560720.29,768,Active,
CUST-0125,Nexus Systems 47,SMB,REG-04,2023-06-29,100198.7,821,Active,
CUST-0126,Synergy Digital 74,SMB,REG-02,2023-09-21,278512.24,743,Active,
CUST-0127,Quantum Industries 24,Government,REG-01,2023-05-25,429368.17,677,Active,
CUST-0128,Omni Digital 56,Enterprise,REG-04,2023-01-15,406401.26,651,Active,
CUST-0129,Quantum Holdings 91,SMB,REG-01,2024-11-22,108455.48,626,Active,
CUST-0130,Paramount Industries 88,Mid-Market,REG-01,2024-10-12,563120.44,799,Active,
CUST-0131,Omni Systems 27,Enterprise,REG-01,2023-11-08,1046436.45,649,Churned,2024-11-07
CUST-0132,Nexus Holdings 68,SMB,REG-05,2024-03-05,196835.09,806,Active,
CUST-0133,Omni Systems 72,Startup,REG-04,2025-08-19,287880.38,628,Active,
CUST-0134,Starlight Labs 66,Mid-Market,REG-03,2023-04-12,649510.25,714,Active,
CUST-0135,Synergy Tech 60,SMB,REG-02,2025-09-18,80539.93,837,Active,
CUST-0136,Vanguard Dynamics 92,Startup,REG-01,2023-02-21,246698.65,682,Active,
CUST-0137,Titan Dynamics 18,Startup,REG-02,2024-08-23,103987.84,842,Active,
CUST-0138,Nexus Tech 45,Mid-Market,REG-02,2024-07-07,247859.81,664,Churned,2024-10-18
CUST-0139,Nexus Tech 55,Mid-Market,REG-05,2023-11-28,118679.6,687,Churned,2024-09-28
CUST-0140,Paramount Systems 18,Government,REG-04,2025-03-07,252917.54,771,Churned,2026-02-17
CUST-0141,Starlight Tech 94,Startup,REG-03,2024-04-14,210835.17,627,Churned,2025-03-15
CUST-0142,Omni Holdings 97,Enterprise,REG-04,2024-12-30,970988.23,638,Active,
CUST-0143,Synergy Solutions 18,Mid-Market,REG-03,2024-10-01,458192.2,760,Active,
CUST-0144,Omni Digital 47,Government,REG-05,2024-09-11,283589.7,823,Active,
CUST-0145,Paramount Dynamics 65,Government,REG-02,2024-02-28,242519.23,736,Active,
CUST-0146,Vanguard Industries 64,SMB,REG-03,2024-01-19,288398.13,795,Active,
CUST-0147,Vanguard Systems 20,Enterprise,REG-04,2023-04-09,826515.35,715,Active,
CUST-0148,Paramount Tech 85,Startup,REG-05,2023-12-04,217503.32,725,Active,
CUST-0149,Omni Tech 46,Startup,REG-03,2023-12-27,75900.14,749,Active,
CUST-0150,Horizon Dynamics 23,SMB,REG-05,2024-01-12,78721.33,691,Active,
CUST-0151,Omni Digital 89,Startup,REG-05,2023-01-27,202248.73,788,Active,
CUST-0152,Quantum Tech 33,SMB,REG-03,2025-08-01,134956.16,621,Active,
CUST-0153,Nexus Holdings 18,Mid-Market,REG-01,2023-04-04,520361.47,675,Active,
CUST-0154,Horizon Industries 30,SMB,REG-03,2025-01-08,131095.72,765,Active,
CUST-0155,Apex Solutions 30,Startup,REG-01,2024-11-21,70395.38,733,Active,
CUST-0156,Horizon Labs 63,SMB,REG-02,2025-02-12,178086.58,708,Active,
CUST-0157,Quantum Labs 77,SMB,REG-01,2023-08-14,148815.85,773,Churned,2024-02-24
CUST-0158,Quantum Dynamics 27,SMB,REG-03,2023-12-02,79996.09,747,Active,
CUST-0159,Nexus Solutions 58,Startup,REG-02,2024-05-27,189680.89,791,Active,
CUST-0160,Vanguard Holdings 15,Government,REG-01,2024-04-15,504523.1,840,Active,
CUST-0161,Omni Holdings 91,Government,REG-03,2023-04-28,272264.54,703,Active,
CUST-0162,Titan Labs 98,SMB,REG-01,2024-03-23,261121.09,682,Active,
CUST-0163,Omni Digital 20,Government,REG-03,2025-02-02,242780.98,705,Active,
CUST-0164,Vanguard Digital 91,Enterprise,REG-05,2024-06-06,344665.74,818,Active,
CUST-0165,Nexus Dynamics 23,Mid-Market,REG-03,2023-07-22,205424.46,659,Active,
CUST-0166,Vanguard Solutions 90,Government,REG-04,2025-02-11,343680.97,768,Active,
CUST-0167,Titan Industries 90,SMB,REG-02,2024-03-26,67071.56,733,Active,
CUST-0168,Quantum Tech 55,Startup,REG-01,2023-11-14,165435.62,629,Churned,2024-07-07
CUST-0169,Vanguard Systems 88,Startup,REG-05,2024-01-29,165677.91,761,Active,
CUST-0170,Apex Labs 83,Mid-Market,REG-03,2024-09-11,371595.97,658,Active,
CUST-0171,Horizon Systems 53,Enterprise,REG-05,2024-10-23,325989.05,683,Active,
CUST-0172,Horizon Digital 76,Startup,REG-02,2024-01-08,143213.0,692,Active,
CUST-0173,Synergy Tech 90,SMB,REG-01,2023-12-04,73626.49,793,Active,
CUST-0174,Quantum Solutions 52,Enterprise,REG-05,2024-11-10,298749.83,709,Active,
CUST-0175,Omni Solutions 86,Enterprise,REG-03,2024-07-26,504594.39,822,Active,
CUST-0176,Nexus Digital 21,Government,REG-05,2024-01-06,98203.74,699,Active,
CUST-0177,Starlight Industries 72,Mid-Market,REG-02,2023-05-21,195219.85,695,Active,
CUST-0178,Vanguard Digital 79,Startup,REG-01,2024-11-08,134191.09,816,Active,
CUST-0179,Titan Holdings 29,Mid-Market,REG-02,2025-05-01,491065.1,779,Active,
CUST-0180,Nexus Labs 15,Government,REG-03,2024-11-23,413813.55,733,Active,
CUST-0181,Horizon Dynamics 78,Mid-Market,REG-03,2025-09-15,554743.13,740,Active,
CUST-0182,Starlight Industries 96,Startup,REG-04,2024-04-17,242359.64,819,Active,
CUST-0183,Paramount Holdings 30,Mid-Market,REG-05,2023-05-22,590151.06,633,Active,
CUST-0184,Synergy Digital 23,Startup,REG-01,2023-10-19,70968.78,661,Active,
CUST-0185,Paramount Solutions 65,Enterprise,REG-02,2025-04-16,569736.99,709,Active,
CUST-0186,Omni Tech 60,Startup,REG-03,2023-08-30,146541.53,640,Active,
CUST-0187,Apex Industries 22,SMB,REG-02,2023-05-21,59575.8,832,Active,
CUST-0188,Nexus Labs 67,Startup,REG-01,2025-07-16,69806.44,685,Active,
CUST-0189,Nexus Digital 87,Startup,REG-04,2023-04-24,244043.16,680,Active,
CUST-0190,Apex Dynamics 63,Startup,REG-04,2023-03-06,77714.47,747,Active,
CUST-0191,Apex Digital 83,Mid-Market,REG-02,2023-10-26,346081.39,777,Active,
CUST-0192,Titan Holdings 33,Enterprise,REG-05,2025-09-25,490528.29,754,Active,
CUST-0193,Paramount Digital 12,Government,REG-04,2023-02-14,376051.86,715,Active,
CUST-0194,Apex Industries 18,SMB,REG-02,2025-01-20,214276.1,646,Active,
CUST-0195,Synergy Solutions 15,SMB,REG-05,2023-12-13,253377.22,664,Active,
CUST-0196,Horizon Labs 90,Mid-Market,REG-02,2023-03-06,503824.78,737,Churned,2023-09-15
CUST-0197,Apex Dynamics 15,SMB,REG-03,2024-06-11,149556.01,828,Active,
CUST-0198,Quantum Tech 92,Mid-Market,REG-03,2024-01-01,584176.19,632,Active,
CUST-0199,Synergy Enterprises 25,SMB,REG-04,2025-06-29,150005.44,732,Active,
CUST-0200,Omni Industries 33,Government,REG-04,2024-01-12,505939.71,752,Active,
CUST-0201,Vanguard Holdings 20,Government,REG-05,2025-04-22,171205.42,695,Active,
CUST-0202,Vanguard Industries 94,SMB,REG-03,2024-04-01,200655.41,729,Active,
CUST-0203,Horizon Industries 67,Enterprise,REG-03,2024-09-21,1048381.77,690,Active,
CUST-0204,Apex Systems 95,Government,REG-03,2024-06-09,450493.19,793,Active,
CUST-0205,Apex Solutions 87,Government,REG-01,2023-05-10,120255.01,819,Active,
CUST-0206,Synergy Holdings 82,Enterprise,REG-05,2023-06-07,769179.3,714,Active,
CUST-0207,Vanguard Solutions 77,SMB,REG-04,2023-11-18,212390.18,683,Active,
CUST-0208,Apex Solutions 73,Startup,REG-04,2025-07-24,190418.18,687,Active,
CUST-0209,Horizon Dynamics 88,SMB,REG-04,2023-07-24,80659.36,838,Churned,2024-01-18
CUST-0210,Horizon Systems 97,SMB,REG-03,2024-12-27,66234.77,758,Active,
CUST-0211,Quantum Solutions 99,Mid-Market,REG-03,2024-06-04,233332.89,671,Active,
CUST-0212,Starlight Labs 13,SMB,REG-05,2024-08-09,142227.79,825,Active,
CUST-0213,Nexus Systems 18,SMB,REG-04,2025-01-04,229717.41,754,Active,
CUST-0214,Omni Systems 26,SMB,REG-01,2024-04-05,166458.3,752,Active,
CUST-0215,Paramount Solutions 26,Government,REG-05,2025-07-21,480695.23,832,Active,
CUST-0216,Nexus Enterprises 31,Mid-Market,REG-03,2025-08-15,500132.67,708,Active,
CUST-0217,Paramount Enterprises 20,SMB,REG-02,2024-10-12,289087.91,690,Active,
CUST-0218,Quantum Digital 21,Startup,REG-02,2024-08-29,285401.75,659,Active,
CUST-0219,Titan Industries 82,Enterprise,REG-01,2023-03-25,214779.08,784,Active,
CUST-0220,Quantum Dynamics 83,Government,REG-05,2024-10-16,103628.65,847,Active,
CUST-0221,Quantum Enterprises 71,Mid-Market,REG-04,2023-11-01,359449.27,796,Churned,2024-09-11
CUST-0222,Omni Labs 69,Mid-Market,REG-03,2024-09-13,189017.78,840,Active,
CUST-0223,Synergy Holdings 26,SMB,REG-05,2024-07-29,76545.98,681,Active,
CUST-0224,Quantum Labs 41,Mid-Market,REG-01,2023-02-21,269616.6,718,Active,
CUST-0225,Omni Dynamics 30,SMB,REG-05,2025-01-08,128178.73,815,Active,
CUST-0226,Paramount Labs 73,SMB,REG-04,2023-01-24,72512.27,720,Active,
CUST-0227,Starlight Dynamics 84,SMB,REG-01,2023-02-21,120339.08,772,Active,
CUST-0228,Horizon Enterprises 78,Enterprise,REG-01,2024-03-17,292193.08,687,Active,
CUST-0229,Omni Industries 15,Government,REG-01,2024-08-06,342817.59,712,Active,
CUST-0230,Vanguard Holdings 74,Government,REG-05,2023-10-14,461390.09,779,Active,
CUST-0231,Vanguard Solutions 22,Government,REG-03,2025-03-24,534054.45,762,Active,
CUST-0232,Nexus Dynamics 87,Startup,REG-04,2024-05-27,60063.73,629,Active,
CUST-0233,Synergy Labs 76,Government,REG-02,2024-09-12,491909.26,655,Active,
CUST-0234,Titan Industries 30,Government,REG-05,2025-01-27,469170.87,771,Active,
CUST-0235,Paramount Digital 72,Startup,REG-03,2024-05-01,253937.21,714,Active,
CUST-0236,Vanguard Holdings 84,SMB,REG-01,2024-09-03,168647.55,787,Active,
CUST-0237,Titan Dynamics 16,Startup,REG-04,2023-06-24,181058.08,804,Active,
CUST-0238,Omni Solutions 97,Mid-Market,REG-01,2024-08-09,631512.84,648,Active,
CUST-0239,Horizon Industries 63,Mid-Market,REG-04,2024-12-08,222140.43,748,Active,
CUST-0240,Horizon Tech 27,Startup,REG-02,2024-07-28,131262.38,789,Active,
CUST-0241,Omni Industries 32,Government,REG-05,2023-12-17,335822.95,793,Active,
CUST-0242,Quantum Labs 34,Mid-Market,REG-03,2024-07-25,274174.54,696,Active,
CUST-0243,Starlight Labs 50,Government,REG-03,2024-07-27,510165.17,823,Active,
CUST-0244,Quantum Systems 83,Startup,REG-04,2025-07-06,295040.13,829,Active,
CUST-0245,Nexus Enterprises 15,SMB,REG-01,2023-12-21,281002.41,787,Active,
CUST-0246,Horizon Dynamics 35,Startup,REG-03,2025-08-13,190504.5,689,Active,
CUST-0247,Titan Dynamics 41,Enterprise,REG-05,2023-08-20,733201.5,633,Churned,2024-05-05
CUST-0248,Horizon Systems 97,Mid-Market,REG-01,2025-09-14,412693.91,660,Active,
CUST-0249,Horizon Labs 93,Mid-Market,REG-03,2023-11-25,266978.44,635,Active,
CUST-0250,Vanguard Dynamics 78,Enterprise,REG-02,2024-03-03,946964.35,665,Active,
CUST-0251,Apex Holdings 73,Mid-Market,REG-03,2025-06-16,130606.4,696,Active,
CUST-0252,Vanguard Industries 46,Government,REG-05,2024-06-20,312260.59,654,Active,
CUST-0253,Horizon Enterprises 34,Enterprise,REG-03,2023-06-16,814729.33,785,Active,
CUST-0254,Nexus Tech 53,SMB,REG-05,2024-11-21,239320.69,664,Active,
CUST-0255,Omni Holdings 75,SMB,REG-01,2024-02-15,217313.96,667,Active,
CUST-0256,Horizon Industries 41,Enterprise,REG-03,2024-01-28,381081.1,812,Active,
CUST-0257,Synergy Enterprises 84,Startup,REG-01,2023-09-25,213420.84,797,Active,
CUST-0258,Vanguard Labs 49,Mid-Market,REG-04,2024-12-03,386386.26,849,Active,
CUST-0259,Quantum Systems 91,SMB,REG-03,2024-09-21,105212.31,654,Active,
CUST-0260,Horizon Industries 63,Startup,REG-04,2025-02-14,184379.42,790,Active,
CUST-0261,Starlight Systems 77,Government,REG-05,2024-12-21,252803.19,764,Churned,2025-12-26
CUST-0262,Paramount Dynamics 83,Startup,REG-02,2023-06-18,132029.41,753,Active,
CUST-0263,Starlight Labs 21,Startup,REG-04,2025-04-08,63908.95,653,Active,
CUST-0264,Horizon Tech 81,Government,REG-03,2025-01-10,99796.71,685,Active,
CUST-0265,Starlight Systems 15,Government,REG-03,2024-12-18,118691.96,635,Active,
CUST-0266,Vanguard Labs 14,SMB,REG-04,2023-07-04,242243.02,816,Active,
CUST-0267,Omni Industries 58,Government,REG-04,2024-01-20,126112.5,789,Active,
CUST-0268,Nexus Industries 25,Mid-Market,REG-05,2024-02-07,400863.4,806,Active,
CUST-0269,Apex Tech 48,Government,REG-05,2024-03-10,329370.12,830,Active,
CUST-0270,Horizon Industries 29,SMB,REG-02,2025-08-17,268802.04,815,Churned,2026-06-17
CUST-0271,Titan Tech 40,Mid-Market,REG-01,2023-04-14,436669.28,734,Active,
CUST-0272,Apex Dynamics 15,Government,REG-04,2023-08-28,332891.91,813,Active,
CUST-0273,Apex Solutions 74,SMB,REG-02,2025-04-15,279099.26,767,Active,
CUST-0274,Titan Industries 40,SMB,REG-02,2024-11-07,180312.76,725,Active,
CUST-0275,Apex Digital 85,Mid-Market,REG-04,2024-07-23,382591.43,708,Active,
CUST-0276,Omni Digital 50,Government,REG-04,2023-06-02,224949.82,667,Active,
CUST-0277,Horizon Dynamics 38,SMB,REG-02,2025-04-05,165756.29,634,Active,
CUST-0278,Omni Digital 77,Mid-Market,REG-04,2023-09-06,250247.61,704,Active,
CUST-0279,Horizon Industries 21,Startup,REG-02,2023-02-22,117115.4,792,Active,
CUST-0280,Apex Systems 34,Startup,REG-05,2023-08-11,169848.55,842,Active,
CUST-0281,Quantum Tech 37,Mid-Market,REG-01,2025-02-03,659764.6,742,Active,
CUST-0282,Titan Dynamics 60,Mid-Market,REG-05,2023-11-26,536532.64,717,Active,
CUST-0283,Synergy Enterprises 43,SMB,REG-05,2025-06-22,174319.32,645,Active,
CUST-0284,Horizon Industries 36,SMB,REG-03,2024-02-28,61428.86,841,Active,
CUST-0285,Nexus Tech 43,Startup,REG-05,2024-08-16,230002.98,695,Active,
CUST-0286,Synergy Dynamics 58,Startup,REG-02,2024-05-26,187660.63,795,Active,
CUST-0287,Horizon Labs 68,Mid-Market,REG-03,2023-06-23,186977.19,759,Active,
CUST-0288,Paramount Tech 77,Enterprise,REG-01,2025-08-25,890746.42,632,Active,
CUST-0289,Omni Solutions 90,Mid-Market,REG-01,2024-12-25,193066.31,675,Active,
CUST-0290,Synergy Tech 89,Startup,REG-04,2024-11-06,171963.6,621,Active,
CUST-0291,Omni Tech 12,Startup,REG-03,2024-07-02,294369.84,624,Active,
CUST-0292,Omni Solutions 23,Enterprise,REG-05,2023-06-02,385847.73,778,Active,
CUST-0293,Synergy Enterprises 60,Enterprise,REG-03,2025-09-09,530273.98,764,Active,
CUST-0294,Starlight Enterprises 97,Enterprise,REG-01,2023-04-06,529618.51,716,Active,
CUST-0295,Apex Tech 99,Mid-Market,REG-01,2024-05-26,574931.39,785,Active,
CUST-0296,Titan Systems 77,Enterprise,REG-02,2023-08-05,963613.84,797,Active,
CUST-0297,Horizon Enterprises 15,Enterprise,REG-03,2025-07-09,650151.86,788,Churned,2026-03-17
CUST-0298,Apex Dynamics 85,Mid-Market,REG-04,2025-08-09,152315.62,661,Active,
CUST-0299,Titan Holdings 96,Startup,REG-03,2024-01-29,238902.32,655,Active,
CUST-0300,Vanguard Digital 54,Enterprise,REG-01,2024-03-23,378126.0,639,Active,
CUST-0301,Titan Holdings 51,Enterprise,REG-03,2025-03-13,1043512.64,745,Active,
CUST-0302,Paramount Holdings 65,Mid-Market,REG-05,2024-11-07,319039.99,817,Active,
CUST-0303,Starlight Systems 20,SMB,REG-02,2024-01-25,227919.29,782,Active,
