transaction_id,transaction_date,revenue,operating_expense,marketing_expense,payroll_expense,operating_profit,cash_flow,budget
FIN-00051,2023-02-20,188141.99,47238.89,29392.76,50309.05,61201.29,67538.01,206422.62
FIN-00052,2023-02-21,251990.66,64598.66,35091.83,86070.47,66229.7,63584.59,265843.2
FIN-00053,2023-02-22,199716.64,63577.89,21485.43,66589.42,48063.9,50823.59,196207.41
FIN-00054,2023-02-23,150623.43,43125.08,18482.63,40738.1,48277.62,43196.99,153248.16
FIN-00055,2023-02-24,186397.19,60713.99,21395.45,61987.16,42300.59,43458.3,195559.66
FIN-00056,2023-02-25,145648.67,53965.78,24140.84,42838.47,24703.58,27411.06,153231.49
FIN-00057,2023-02-26,191235.25,58027.59,35595.8,59528.05,38083.81,37701.92,190265.59
FIN-00058,2023-02-27,162747.56,58474.39,16525.58,56398.64,31348.95,33832.74,175414.93
FIN-00059,2023-02-28,177541.82,51773.7,33703.33,38146.39,53918.4,51993.06,192614.61
FIN-00060,2023-03-01,364485.97,95435.03,67939.28,113093.45,88018.21,95366.2,389888.06
FIN-00061,2023-03-02,242539.07,61855.72,38379.33,63631.66,78672.36,86363.1,236441.16
FIN-00062,2023-03-03,254763.56,76584.31,46455.88,75187.26,56536.11,52350.94,261601.6
FIN-00063,2023-03-04,117782.86,34872.76,19974.45,33587.54,29348.11,24974.27,125909.73
FIN-00064,2023-03-05,244004.51,74203.51,48218.53,59635.05,61947.42,65014.5,245727.85
FIN-00065,2023-03-06,231641.87,60335.97,32580.42,51677.91,87047.57,84364.31,254228.25
FIN-00066,2023-03-07,416491.05,131129.71,55233.67,109520.8,120606.87,104076.56,418692.93
FIN-00067,2023-03-08,300926.32,117740.69,58530.33,87765.55,36889.75,41551.03,303102.83
FIN-00068,2023-03-09,339286.27,108695.5,57647.93,97622.53,75320.31,64104.58,361366.87
FIN-00069,2023-03-10,115930.15,33828.38,12761.49,32800.37,36539.91,37971.07,115068.68
FIN-00070,2023-03-11,75153.08,23596.65,9755.88,26252.68,15547.87,15026.32,72400.79
FIN-00071,2023-03-12,204123.82,63541.33,21913.74,62238.78,56429.97,56378.25,196765.73
FIN-00072,2023-03-13,176158.73,48261.91,32591.9,42895.92,52409.0,47012.26,175184.16
FIN-00073,2023-03-14,88061.07,28699.93,10520.14,18267.68,30573.32,28648.73,87304.77
FIN-00074,2023-03-15,98523.62,29205.96,18971.72,33577.22,16768.72,16085.9,102835.56
FIN-00075,2023-03-16,58478.78,22541.36,9379.82,16401.22,10156.38,11602.4,56953.14
FIN-00076,2023-03-17,455448.61,115136.07,50837.93,155537.72,133936.89,139186.62,450927.57
FIN-00077,2023-03-18,251158.8,93441.46,48268.43,60746.72,48702.19,45522.63,242818.43
FIN-00078,2023-03-19,289081.47,112369.07,36505.86,87218.32,52988.22,59256.46,285348.07
FIN-00079,2023-03-20,90770.46,35132.6,14225.53,18285.14,23127.19,20572.77,90004.79
FIN-00080,2023-03-21,286019.51,106190.37,46480.75,77475.26,55873.13,55849.15,272353.1
FIN-00081,2023-03-22,159588.39,50911.29,31210.72,37405.02,40061.36,34950.42,168969.67
FIN-00082,2023-03-23,186283.21,71224.59,29218.72,61035.52,24804.38,28027.77,183328.56
FIN-00083,2023-03-24,104569.29,31408.04,13657.3,35189.18,24314.77,24760.57,100083.89
FIN-00084,2023-03-25,172887.25,50653.53,27581.57,53098.22,41553.93,47106.02,183609.46
FIN-00085,2023-03-26,194695.73,56987.2,20148.31,48804.94,68755.28,60982.46,199710.0
FIN-00086,2023-03-27,344623.88,113985.06,43679.57,70926.25,116033.0,99734.75,335350.12
FIN-00087,2023-03-28,255790.9,78904.93,36044.67,72688.34,68152.96,60393.71,262939.94
FIN-00088,2023-03-29,165540.88,65480.42,25726.19,44667.6,29666.67,29796.23,171835.93
FIN-00089,2023-03-30,90077.71,25000.98,14200.3,21838.64,29037.79,31400.98,85879.69
FIN-00090,2023-03-31,331330.11,118886.69,37385.87,111108.43,63949.12,61884.62,330742.47
FIN-00091,2023-04-01,228774.12,71131.26,42623.61,48574.85,66444.4,76253.36,238058.25
FIN-00092,2023-04-02,79256.34,19934.43,8413.43,16023.29,34885.19,37218.65,78825.82
FIN-00093,2023-04-03,180463.64,66306.44,19232.34,50777.18,44147.68,42095.58,173356.96
FIN-00094,2023-04-04,167220.72,66248.78,31750.34,53606.36,15615.24,15254.6,164588.89
FIN-00095,2023-04-05,274002.57,70073.1,28306.16,92960.03,82663.28,88191.34,273735.93
FIN-00096,2023-04-06,175872.66,46832.03,25497.01,59831.2,43712.42,41314.59,171986.35
FIN-00097,2023-04-07,355301.75,132969.98,55975.65,118252.4,48103.72,52043.66,345958.87
FIN-00098,2023-04-08,254665.37,67886.05,32103.82,59679.28,94996.22,99981.02,247414.99
FIN-00099,2023-04-09,208129.46,59110.15,24845.9,61769.01,62404.4,68229.57,223181.58
FIN-00100,2023-04-10,136679.61,35628.7,18441.17,39086.53,43523.21,43373.83,149488.55
FIN-00101,2023-04-11,137034.73,49415.69,22746.5,46862.8,18009.74,19333.24,140554.12
FIN-00102,2023-04-12,141909.69,48524.17,15323.38,34804.27,43257.87,37795.74,154515.79
FIN-00103,2023-04-13,99009.53,28658.01,14328.05,23714.6,32308.87,29890.26,99459.19
FIN-00104,2023-04-14,176791.91,52715.16,26470.27,47307.73,50298.75,50131.57,177442.9
FIN-00105,2023-04-15,156425.59,58231.29,19590.2,38248.49,40355.61,40984.73,168057.63
FIN-00106,2023-04-16,95440.12,24277.27,12327.74,22240.92,36594.19,41242.46,104746.31
FIN-00107,2023-04-17,316558.29,105906.9,40098.83,110675.24,59877.32,54796.21,345998.0
FIN-00108,2023-04-18,102250.31,37628.24,17718.32,34025.42,12878.33,12713.14,110115.59
FIN-00109,2023-04-19,205131.82,72513.25,30708.67,69322.54,32587.36,30660.84,207995.52
FIN-00110,2023-04-20,234155.06,72342.01,41612.65,77309.35,42891.05,43303.31,229047.46
FIN-00111,2023-04-21,344959.63,99856.47,64042.25,76013.35,105047.56,116551.11,358718.59
FIN-00112,2023-04-22,128432.9,47022.48,23398.72,42761.27,15250.43,14572.18,133414.91
FIN-00113,2023-04-23,209413.57,52749.53,28608.18,50135.79,77920.07,75412.9,209352.01
FIN-00114,2023-04-24,269569.76,79695.36,39228.96,88374.55,62270.89,67922.8,284819.92
FIN-00115,2023-04-25,198268.86,53130.73,34401.98,43743.33,66992.82,61641.76,203133.8
FIN-00116,2023-04-26,137791.63,50644.88,24831.61,47139.48,15175.66,13085.34,131332.87
FIN-00117,2023-04-27,410765.57,138408.68,65897.91,120438.71,86020.27,92024.28,408083.38
FIN-00118,2023-04-28,54700.9,15265.07,6498.74,15615.45,17321.64,17342.55,52670.93
FIN-00119,2023-04-29,47790.0,13279.8,5283.56,11756.57,17470.07,19871.22,47617.23
FIN-00120,2023-04-30,240591.46,77668.07,46491.95,62491.2,53940.24,52898.73,241217.19
FIN-00121,2023-05-01,152457.57,53860.83,16165.47,47016.08,35415.19,30924.98,147514.19
FIN-00122,2023-05-02,302283.65,111389.57,55422.39,61411.01,74060.68,74435.95,310783.76
FIN-00123,2023-05-03,183438.39,53310.64,27004.33,44987.69,58135.73,56780.07,201649.17
FIN-00124,2023-05-04,382192.87,99963.28,51378.06,78260.82,152590.71,153022.78,390298.67
FIN-00125,2023-05-05,159435.01,63076.02,20267.93,47633.43,28457.63,32470.21,162876.56
FIN-00126,2023-05-06,270113.05,78794.12,50522.32,54455.54,86341.07,82308.8,283009.1
FIN-00127,2023-05-07,241003.39,66654.79,25689.85,54466.82,94191.93,81972.9,234930.79
FIN-00128,2023-05-08,277461.16,92562.79,28221.27,62483.59,94193.51,90136.01,268771.46
FIN-00129,2023-05-09,106064.02,35766.13,16234.71,28900.87,25162.31,25464.27,108048.66
FIN-00130,2023-05-10,259792.42,68096.31,43967.37,81165.76,66562.98,72470.76,253952.42
FIN-00131,2023-05-11,181115.68,46431.68,25661.51,42293.86,66728.63,60545.91,186514.37
FIN-00132,2023-05-12,126687.53,34055.63,24602.25,34221.55,33808.1,37133.58,130278.73
FIN-00133,2023-05-13,329984.72,94335.37,60261.56,67335.96,108051.83,122179.65,353984.44
FIN-00134,2023-05-14,198618.72,51841.61,32606.38,51108.29,63062.44,61047.22,198856.29
FIN-00135,2023-05-15,93076.02,36883.42,9685.54,19753.55,26753.51,30528.64,88900.8
FIN-00136,2023-05-16,184751.34,49791.39,34631.64,52297.29,48031.02,49699.35,177992.32
FIN-00137,2023-05-17,227156.82,89709.36,33867.74,46251.27,57328.45,48986.32,229218.75
FIN-00138,2023-05-18,471003.1,148261.11,76690.22,157509.46,88542.31,86273.07,495489.96
FIN-00139,2023-05-19,262195.47,95717.58,30585.48,78416.57,57475.84,66074.06,285330.55
FIN-00140,2023-05-20,232441.51,85530.38,23416.01,80236.58,43258.54,38342.0,251837.13
FIN-00141,2023-05-21,148440.08,41796.64,18707.66,34288.12,53647.66,57996.07,161141.01
FIN-00142,2023-05-22,236893.5,73612.49,29503.57,76867.54,56909.9,48708.72,253115.34
FIN-00143,2023-05-23,348236.88,138028.91,67729.81,74888.45,67589.71,66378.78,364981.14
FIN-00144,2023-05-24,431549.12,122235.05,85638.56,122177.73,101497.78,93941.88,426853.08
FIN-00145,2023-05-25,221371.54,77293.09,23759.8,51665.63,68653.02,74500.72,210845.04
FIN-00146,2023-05-26,174840.73,43773.46,18219.87,54139.42,58707.98,57113.42,176194.99
FIN-00147,2023-05-27,236264.88,89306.07,38883.86,75215.35,32859.6,33121.85,233963.59
FIN-00148,2023-05-28,267262.11,85205.6,52644.61,72715.43,56696.47,52574.79,262895.82
FIN-00149,2023-05-29,151289.96,39841.83,27184.68,31089.75,53173.7,57870.75,152049.04
FIN-00150,2023-05-30,181797.28,52533.33,25924.55,48112.53,55226.87,57637.22,179295.66
FIN-00151,2023-05-31,105619.52,39690.9,16725.92,24944.29,24258.41,22782.54,115492.86
FIN-00152,2023-06-01,171166.56,61765.43,22536.25,55559.41,31305.47,31444.82,184021.18
FIN-00153,2023-06-02,158541.27,51650.48,16731.52,39627.71,50531.56,57725.79,172977.95
FIN-00154,2023-06-03,98604.18,34847.37,18660.08,22252.71,22844.02,24579.53,105032.5
FIN-00155,2023-06-04,324018.32,126754.86,59736.38,88693.86,48833.22,53899.4,309936.31
FIN-00156,2023-06-05,343366.73,87737.03,42842.39,78032.25,134755.06,142884.05,347422.02
FIN-00157,2023-06-06,198345.21,75690.67,34991.22,46281.56,41381.76,35486.66,198252.17
FIN-00158,2023-06-07,234615.56,74008.86,29477.32,47818.33,83311.05,90977.63,244799.99
FIN-00159,2023-06-08,421404.46,167472.56,61316.16,130938.32,61677.42,66568.94,454047.18
FIN-00160,2023-06-09,288460.01,88352.86,34140.6,88364.08,77602.47,69244.31,289373.94
FIN-00161,2023-06-10,220472.28,77270.84,34419.94,57734.0,51047.5,50067.57,218194.78
FIN-00162,2023-06-11,145573.84,46663.94,18122.2,37404.15,43383.55,46517.11,157387.65
FIN-00163,2023-06-12,344491.27,125796.5,49836.07,75042.84,93815.86,91614.02,331661.52
FIN-00164,2023-06-13,247569.76,89976.88,33962.71,56455.99,67174.18,73615.69,258190.02
FIN-00165,2023-06-14,191948.89,56470.99,21817.69,44495.84,69164.37,78106.78,185981.63
FIN-00166,2023-06-15,320660.72,109883.66,50252.02,81508.74,79016.3,70420.1,327524.16
FIN-00167,2023-06-16,217064.52,65547.74,25314.55,60816.19,65386.04,59889.08,226990.37
FIN-00168,2023-06-17,200541.74,74162.82,31845.09,53153.64,41380.19,37535.03,201889.78
FIN-00169,2023-06-18,252951.39,78166.82,32011.53,88143.22,54629.82,52422.13,253613.48
FIN-00170,2023-06-19,194532.2,51678.56,32270.94,42656.17,67926.53,77122.78,192530.38
FIN-00171,2023-06-20,243074.85,65096.73,46427.37,62346.23,69204.52,61582.66,246874.62
FIN-00172,2023-06-21,126873.18,49241.99,24914.93,41432.12,11284.14,10420.2,127646.25
FIN-00173,2023-06-22,188613.55,58280.52,30773.62,45052.48,54506.93,60056.73,185985.5
FIN-00174,2023-06-23,109986.3,34771.29,12714.13,23796.38,38704.5,38259.18,112005.79
FIN-00175,2023-06-24,433157.99,117413.39,53375.02,92343.33,170026.25,146162.88,424793.47
FIN-00176,2023-06-25,226172.06,62610.27,26281.04,56129.43,81151.32,77758.25,224067.94
FIN-00177,2023-06-26,272997.39,95947.27,45676.08,70020.89,61353.15,54735.74,275346.8
FIN-00178,2023-06-27,334233.7,87321.69,46955.9,92232.07,107724.04,110720.51,328308.92
FIN-00179,2023-06-28,162553.4,54444.73,17558.54,35731.94,54818.19,61729.51,177502.26
FIN-00180,2023-06-29,175863.18,51842.88,20889.08,49547.19,53584.03,60335.87,167407.29
FIN-00181,2023-06-30,233276.79,82135.6,36580.86,57873.82,56686.51,51447.81,239224.52
FIN-00182,2023-07-01,178891.58,48642.6,28117.01,38135.69,63996.28,71750.08,190875.86
FIN-00183,2023-07-02,355203.24,133713.6,40408.31,89909.73,91171.6,100700.35,355969.99
FIN-00184,2023-07-03,228855.79,71587.11,42203.5,69266.89,45798.29,40374.24,233617.96
FIN-00185,2023-07-04,188531.24,59907.37,22185.81,61044.67,45393.39,41166.07,198713.94
FIN-00186,2023-07-05,184547.5,55706.32,34755.21,51370.3,42715.67,40103.59,197885.24
FIN-00187,2023-07-06,270541.44,76387.75,36897.99,60133.67,97122.03,88164.41,292336.63
FIN-00188,2023-07-07,381207.78,128221.43,49689.74,98436.38,104860.23,95251.36,382191.39
FIN-00189,2023-07-08,295753.77,80865.01,36134.26,102130.88,76623.62,66469.45,287529.1
FIN-00190,2023-07-09,246334.67,82372.79,39433.26,79842.34,44686.28,40295.3,242633.57
FIN-00191,2023-07-10,162570.49,62752.42,21327.19,32759.63,45731.25,50174.54,172903.13
FIN-00192,2023-07-11,216759.89,83530.84,38513.89,60721.39,33993.77,37566.75,211448.43
FIN-00193,2023-07-12,273710.14,71340.53,32994.16,90518.85,78856.6,69128.69,300547.12
FIN-00194,2023-07-13,64206.99,22527.73,8902.41,19396.88,13379.97,14278.6,65028.65
FIN-00195,2023-07-14,120510.57,37758.61,16900.4,38869.51,26982.05,30097.03,118088.97
FIN-00196,2023-07-15,271584.5,97429.93,39915.79,82411.59,51827.19,46016.38,283627.99
FIN-00197,2023-07-16,141600.15,49792.67,24255.41,38683.24,28868.83,32236.34,146879.83
FIN-00198,2023-07-17,146095.96,49982.2,15157.08,49994.02,30962.66,30624.85,159750.6
FIN-00199,2023-07-18,165960.08,56058.59,18042.93,43691.45,48167.11,53547.33,175363.3
FIN-00200,2023-07-19,232102.33,81060.51,30053.43,48048.17,72940.22,81603.23,253654.65
FIN-00201,2023-07-20,188969.66,64916.42,27517.73,51193.85,45341.66,42758.64,189859.51
FIN-00202,2023-07-21,137522.11,47197.61,24629.68,42435.39,23259.43,22242.69,140466.73
FIN-00203,2023-07-22,322893.72,87392.57,63096.68,65070.4,107334.07,101270.56,324177.12
FIN-00204,2023-07-23,285725.07,94288.87,29827.2,82862.66,78746.34,79985.51,304266.62
FIN-00205,2023-07-24,198144.54,63951.94,25828.65,67546.98,40816.97,36449.7,215404.02
FIN-00206,2023-07-25,341914.39,129995.53,51049.42,75108.97,85760.47,96012.34,350136.62
FIN-00207,2023-07-26,40815.43,12608.38,4346.99,10584.77,13275.29,12806.83,40277.49
FIN-00208,2023-07-27,257804.05,101198.95,36461.97,63111.69,57031.44,52034.55,259353.13
FIN-00209,2023-07-28,300226.28,92425.92,56656.07,71661.17,79483.12,76993.04,322848.94
FIN-00210,2023-07-29,240115.05,73237.74,33377.9,80486.37,53013.04,49899.92,247216.82
FIN-00211,2023-07-30,247935.03,97380.07,29811.0,64338.68,56405.28,54290.8,236443.18
FIN-00212,2023-07-31,317237.46,122094.89,39589.96,101545.7,54006.91,47882.23,310954.97
FIN-00213,2023-08-01,294877.94,92176.92,30435.41,75785.24,96480.37,86458.82,302369.36
FIN-00214,2023-08-02,154370.71,46711.66,17534.33,39446.63,50678.09,47378.33,149916.43
FIN-00215,2023-08-03,322245.9,82055.36,39302.54,67569.49,133318.51,153268.11,319023.96
FIN-00216,2023-08-04,143578.94,39543.58,15726.39,42138.76,46170.21,42715.81,137227.44
FIN-00217,2023-08-05,512767.28,161187.08,98406.58,174610.84,78562.78,69349.06,505607.18
FIN-00218,2023-08-06,139717.39,46747.93,23661.97,31876.51,37430.98,36223.63,141426.79
FIN-00219,2023-08-07,257245.86,66246.41,33700.37,58613.34,98685.74,108562.88,256640.51
FIN-00220,2023-08-08,106403.43,38967.01,11331.15,23547.69,32557.58,27982.67,115179.86
FIN-00221,2023-08-09,277157.81,71427.73,39354.17,69671.49,96704.42,110920.78,272044.25
FIN-00222,2023-08-10,264775.55,98843.92,45718.4,71835.15,48378.08,43155.98,286446.55
FIN-00223,2023-08-11,91966.19,32536.22,14203.94,29500.54,15725.49,15533.54,92679.05
FIN-00224,2023-08-12,246573.88,71818.28,35562.95,62485.41,76707.24,79119.2,254426.26
FIN-00225,2023-08-13,120396.78,39538.46,12659.86,25993.97,42204.49,40220.02,119601.54
FIN-00226,2023-08-14,35763.23,12014.0,5194.65,12399.18,6155.4,6956.5,35285.01
FIN-00227,2023-08-15,123367.62,43837.05,22342.67,31261.19,25926.71,23747.3,132178.83
FIN-00228,2023-08-16,162242.07,47891.87,26328.86,41717.53,46303.81,46135.47,167069.75
FIN-00229,2023-08-17,148726.95,51445.92,15839.98,49721.88,31719.17,35787.06,156329.49
FIN-00230,2023-08-18,218297.19,69925.98,23107.24,67714.81,57549.16,50347.55,237014.63
FIN-00231,2023-08-19,215174.08,63663.0,28575.96,58081.22,64853.9,57791.68,205997.33
FIN-00232,2023-08-20,103078.87,30482.3,14242.99,35519.51,22834.07,22572.26,98635.73
FIN-00233,2023-08-21,133327.5,51052.2,19136.26,45923.34,17215.7,17764.15,126937.77
FIN-00234,2023-08-22,222225.71,62662.29,33219.99,46611.09,79732.34,78189.38,233515.02
FIN-00235,2023-08-23,151796.99,49023.8,16722.59,49774.71,36275.89,35908.33,166790.99
FIN-00236,2023-08-24,273400.48,108150.73,35749.58,95187.1,34313.07,38085.87,276873.25
FIN-00237,2023-08-25,379726.44,108449.73,48568.53,86225.1,136483.08,134782.27,408320.06
FIN-00238,2023-08-26,273817.38,77892.83,32891.1,74569.65,88463.8,83975.18,269715.65
FIN-00239,2023-08-27,208634.24,57710.71,22985.18,60096.47,67841.88,74063.25,207418.33
FIN-00240,2023-08-28,173017.44,50418.41,25320.54,55605.48,41673.01,46710.63,166546.23
FIN-00241,2023-08-29,423522.83,128568.08,78370.88,140823.33,75760.54,84915.42,456498.74
FIN-00242,2023-08-30,225361.83,83120.92,39831.01,65586.04,36823.86,39174.93,235440.65
FIN-00243,2023-08-31,230991.67,78352.63,30754.38,53975.42,67909.24,62845.88,253334.7
FIN-00244,2023-09-01,22488.45,8400.35,2670.2,4745.98,6671.92,7156.39,21576.35
FIN-00245,2023-09-02,385817.8,151356.87,48953.26,80051.98,105455.69,93240.05,387377.09
FIN-00246,2023-09-03,93681.27,28645.56,16872.75,30299.41,17863.55,19229.83,102175.42
FIN-00247,2023-09-04,215770.16,65371.39,29098.66,72533.17,48766.94,42955.9,217488.8
FIN-00248,2023-09-05,152627.63,40993.68,16673.66,49920.03,45040.26,41863.78,160104.32
FIN-00249,2023-09-06,133493.54,42995.34,15229.83,39160.5,36107.87,36403.39,144526.16
FIN-00250,2023-09-07,222204.51,70610.96,27843.58,73273.95,50476.02,50339.94,241370.83
FIN-00251,2023-09-08,149879.54,58529.87,15899.66,36132.24,39317.77,37347.34,161831.67
FIN-00252,2023-09-09,273847.47,97022.29,48063.62,64547.35,64214.21,71189.96,279602.58
FIN-00253,2023-09-10,116960.63,33998.92,17706.13,25504.81,39750.77,45174.39,113830.5
FIN-00254,2023-09-11,93878.78,25321.08,18441.42,29232.74,20883.54,18388.34,94970.36
FIN-00255,2023-09-12,272234.91,73107.0,42135.56,81071.5,75920.85,75048.07,285210.19
FIN-00256,2023-09-13,212654.67,73033.18,39881.71,48732.75,51007.03,50873.68,212031.61
FIN-00257,2023-09-14,370771.42,125884.33,63748.27,94381.79,86757.03,94978.83,370351.59
FIN-00258,2023-09-15,136729.17,52027.03,20596.16,31929.13,32176.85,29681.24,144158.47
FIN-00259,2023-09-16,374751.95,143892.0,64497.27,94715.09,71647.59,80518.23,368220.36
FIN-00260,2023-09-17,192054.55,55737.59,20364.01,55295.22,60657.73,69226.33,202198.63
FIN-00261,2023-09-18,162016.6,49210.49,30200.96,52379.8,30225.35,25986.12,169381.55
FIN-00262,2023-09-19,164443.13,55000.58,18912.18,47634.73,42895.64,41852.51,157138.67
FIN-00263,2023-09-20,146270.15,46619.83,21142.34,49211.7,29296.28,27752.33,139606.64
FIN-00264,2023-09-21,153621.97,55619.16,27128.12,44063.87,26810.82,28616.31,162457.18
FIN-00265,2023-09-22,129459.13,38342.59,16650.23,35246.42,39219.89,36218.93,139038.86
FIN-00266,2023-09-23,187960.7,62954.32,36876.02,64056.95,24073.41,22312.88,196052.49
FIN-00267,2023-09-24,97046.19,25787.39,14015.29,28238.02,29005.49,31655.24,95126.3
FIN-00268,2023-09-25,117259.53,39690.64,15362.64,38713.51,23492.74,20964.52,115384.85
FIN-00269,2023-09-26,267106.88,103850.18,49095.84,80475.89,33684.97,38286.21,293369.42
FIN-00270,2023-09-27,96363.91,32045.96,13953.91,23632.27,26731.77,23988.5,103024.48
FIN-00271,2023-09-28,184431.15,67816.91,19052.57,51431.15,46130.52,41993.05,200861.92
FIN-00272,2023-09-29,186541.98,71514.61,27901.55,38824.25,48301.57,43908.08,180473.75
FIN-00273,2023-09-30,151962.69,44619.41,23639.39,38587.13,45116.76,40339.13,145743.88
FIN-00274,2023-10-01,163405.54,64463.07,29723.44,50524.12,18694.91,20433.63,164679.46
FIN-00275,2023-10-02,302201.38,80933.63,58918.7,63524.58,98824.47,85125.89,297709.86
FIN-00276,2023-10-03,216463.89,81449.5,34622.43,70172.46,30219.5,26119.28,205855.71
FIN-00277,2023-10-04,62184.39,20892.76,8949.85,18586.07,13755.71,14120.01,59895.57
FIN-00278,2023-10-05,192338.34,50789.04,38466.9,53374.21,49708.19,53967.23,191023.17
FIN-00279,2023-10-06,214885.98,58524.56,38195.95,50130.23,68035.24,63959.38,230217.22
FIN-00280,2023-10-07,231126.18,67172.94,36481.71,61966.92,65504.61,63681.56,242601.4
FIN-00281,2023-10-08,85686.46,23105.12,16434.04,17740.23,28407.07,29621.88,86355.82
FIN-00282,2023-10-09,373181.08,133534.29,44064.89,75447.61,120134.29,119502.08,358458.85
FIN-00283,2023-10-10,117341.73,36994.13,20865.52,29497.28,29984.8,31320.06,127163.71
