campaign_id,campaign_name,campaign_date,channel,campaign_cost,impressions,clicks,leads,conversions,customers_acquired,revenue_generated
CAMP-00042,LinkedIn Ads Campaign 2023-01-14,2023-01-14,LinkedIn Ads,3162.05,53881,1468,261,70,66,202448.3
CAMP-00043,LinkedIn Ads Campaign 2023-01-15,2023-01-15,LinkedIn Ads,2736.23,26096,1401,157,30,24,85481.37
CAMP-00044,SEO Content Campaign 2023-01-15,2023-01-15,SEO Content,840.55,59039,4558,723,271,172,519335.34
CAMP-00045,Google Ads Campaign 2023-01-15,2023-01-15,Google Ads,1506.35,52057,3925,288,55,40,86869.8
CAMP-00046,Events & Webinars Campaign 2023-01-15,2023-01-15,Events & Webinars,308.8,66881,4486,620,129,102,175249.83
CAMP-00047,Google Ads Campaign 2023-01-16,2023-01-16,Google Ads,1545.8,48980,2207,115,12,10,31923.74
CAMP-00048,LinkedIn Ads Campaign 2023-01-16,2023-01-16,LinkedIn Ads,1591.02,23459,1460,267,101,74,187068.07
CAMP-00049,LinkedIn Ads Campaign 2023-01-17,2023-01-17,LinkedIn Ads,1989.44,14201,300,18,6,4,4768.62
CAMP-00050,Email Campaigns Campaign 2023-01-17,2023-01-17,Email Campaigns,559.77,30950,2354,343,82,74,129273.59
CAMP-00051,SEO Content Campaign 2023-01-17,2023-01-17,SEO Content,2342.23,11430,312,39,9,7,7303.67
CAMP-00052,Events & Webinars Campaign 2023-01-18,2023-01-18,Events & Webinars,711.32,62985,2739,192,74,62,244156.91
CAMP-00053,SEO Content Campaign 2023-01-18,2023-01-18,SEO Content,3457.0,55253,3276,308,83,57,159668.9
CAMP-00054,Events & Webinars Campaign 2023-01-19,2023-01-19,Events & Webinars,3272.07,76836,4757,845,315,266,578496.69
CAMP-00055,Partner Referrals Campaign 2023-01-19,2023-01-19,Partner Referrals,2086.61,71523,3102,278,102,66,280530.84
CAMP-00056,LinkedIn Ads Campaign 2023-01-19,2023-01-19,LinkedIn Ads,1529.84,22400,574,58,11,10,22835.25
CAMP-00057,Partner Referrals Campaign 2023-01-20,2023-01-20,Partner Referrals,1050.55,86569,2923,192,59,45,41208.48
CAMP-00058,Events & Webinars Campaign 2023-01-20,2023-01-20,Events & Webinars,1273.07,59163,3650,328,47,35,119781.24
CAMP-00059,Events & Webinars Campaign 2023-01-21,2023-01-21,Events & Webinars,1745.47,96983,7405,1417,293,207,768474.09
CAMP-00060,Google Ads Campaign 2023-01-21,2023-01-21,Google Ads,1363.58,9169,456,29,6,5,7693.0
CAMP-00061,SEO Content Campaign 2023-01-21,2023-01-21,SEO Content,1616.42,76655,2359,363,108,95,81042.85
CAMP-00062,LinkedIn Ads Campaign 2023-01-21,2023-01-21,LinkedIn Ads,3162.17,88764,5431,1048,132,96,286439.38
CAMP-00063,SEO Content Campaign 2023-01-22,2023-01-22,SEO Content,2126.85,19090,1483,263,104,64,93173.0
CAMP-00064,Partner Referrals Campaign 2023-01-22,2023-01-22,Partner Referrals,3046.2,79145,3550,593,90,64,266962.39
CAMP-00065,Events & Webinars Campaign 2023-01-22,2023-01-22,Events & Webinars,2597.38,65817,2238,216,53,46,49926.62
CAMP-00066,SEO Content Campaign 2023-01-23,2023-01-23,SEO Content,2780.47,8973,314,61,17,13,25390.86
CAMP-00067,LinkedIn Ads Campaign 2023-01-23,2023-01-23,LinkedIn Ads,2617.03,11930,793,46,5,4,4625.26
CAMP-00068,Google Ads Campaign 2023-01-23,2023-01-23,Google Ads,959.66,82772,4600,335,37,32,120399.91
CAMP-00069,Events & Webinars Campaign 2023-01-23,2023-01-23,Events & Webinars,995.62,58071,3402,459,178,173,397001.64
CAMP-00070,Partner Referrals Campaign 2023-01-24,2023-01-24,Partner Referrals,2396.94,79842,2387,276,35,25,35160.33
CAMP-00071,LinkedIn Ads Campaign 2023-01-24,2023-01-24,LinkedIn Ads,3063.4,33059,2088,144,30,25,103672.93
CAMP-00072,SEO Content Campaign 2023-01-25,2023-01-25,SEO Content,3096.14,83514,2229,173,56,50,161894.7
CAMP-00073,Email Campaigns Campaign 2023-01-25,2023-01-25,Email Campaigns,2410.59,44509,1599,109,40,29,105757.17
CAMP-00074,Partner Referrals Campaign 2023-01-26,2023-01-26,Partner Referrals,3249.84,21060,606,118,38,31,72651.49
CAMP-00075,LinkedIn Ads Campaign 2023-01-26,2023-01-26,LinkedIn Ads,2885.16,24880,670,50,15,12,44321.15
CAMP-00076,Email Campaigns Campaign 2023-01-26,2023-01-26,Email Campaigns,2294.07,35018,1264,246,65,61,266240.8
CAMP-00077,SEO Content Campaign 2023-01-26,2023-01-26,SEO Content,1267.5,56838,1466,287,96,72,105384.66
CAMP-00078,Events & Webinars Campaign 2023-01-27,2023-01-27,Events & Webinars,1669.69,34366,712,117,43,41,93450.95
CAMP-00079,Email Campaigns Campaign 2023-01-27,2023-01-27,Email Campaigns,1489.3,92049,4779,634,236,191,724646.14
CAMP-00080,Partner Referrals Campaign 2023-01-28,2023-01-28,Partner Referrals,2102.28,21422,953,158,28,24,81892.16
CAMP-00081,Google Ads Campaign 2023-01-28,2023-01-28,Google Ads,1722.42,63808,1374,105,38,35,96156.7
CAMP-00082,LinkedIn Ads Campaign 2023-01-28,2023-01-28,LinkedIn Ads,466.16,43230,1782,250,57,48,191234.58
CAMP-00083,Google Ads Campaign 2023-01-29,2023-01-29,Google Ads,893.44,34452,1532,191,26,20,53188.59
CAMP-00084,Events & Webinars Campaign 2023-01-29,2023-01-29,Events & Webinars,2898.87,19034,1348,240,71,44,41229.72
CAMP-00085,Email Campaigns Campaign 2023-01-30,2023-01-30,Email Campaigns,3180.05,86940,6884,629,209,198,772591.63
CAMP-00086,Partner Referrals Campaign 2023-01-30,2023-01-30,Partner Referrals,1079.84,86969,6755,991,160,101,333016.31
CAMP-00087,Events & Webinars Campaign 2023-01-30,2023-01-30,Events & Webinars,2799.62,51498,2810,154,20,19,82442.89
CAMP-00088,Email Campaigns Campaign 2023-01-31,2023-01-31,Email Campaigns,2296.57,24056,1800,182,21,14,58939.05
CAMP-00089,Google Ads Campaign 2023-01-31,2023-01-31,Google Ads,2036.48,87754,4841,601,105,92,278256.23
CAMP-00090,Events & Webinars Campaign 2023-01-31,2023-01-31,Events & Webinars,2568.21,84117,6202,835,323,242,766165.76
CAMP-00091,Partner Referrals Campaign 2023-01-31,2023-01-31,Partner Referrals,628.29,9899,542,36,10,9,14470.23
CAMP-00092,Google Ads Campaign 2023-02-01,2023-02-01,Google Ads,885.86,24241,1229,131,18,11,14701.72
CAMP-00093,Events & Webinars Campaign 2023-02-01,2023-02-01,Events & Webinars,2281.58,69952,1482,191,40,27,56261.4
CAMP-00094,Email Campaigns Campaign 2023-02-01,2023-02-01,Email Campaigns,1006.15,19105,888,75,20,18,14672.71
CAMP-00095,Partner Referrals Campaign 2023-02-01,2023-02-01,Partner Referrals,553.83,42996,3128,619,144,143,289567.51
CAMP-00096,Partner Referrals Campaign 2023-02-02,2023-02-02,Partner Referrals,2409.59,60380,1258,124,47,31,121533.28
CAMP-00097,Events & Webinars Campaign 2023-02-02,2023-02-02,Events & Webinars,3244.45,49658,2423,313,120,84,189833.89
CAMP-00098,LinkedIn Ads Campaign 2023-02-02,2023-02-02,LinkedIn Ads,909.51,7471,397,62,17,12,42103.64
CAMP-00099,Email Campaigns Campaign 2023-02-02,2023-02-02,Email Campaigns,2172.29,27708,1330,163,53,33,83874.58
CAMP-00100,LinkedIn Ads Campaign 2023-02-03,2023-02-03,LinkedIn Ads,2043.78,95191,6997,1133,450,350,1271980.43
CAMP-00101,Google Ads Campaign 2023-02-03,2023-02-03,Google Ads,1602.48,99012,5384,752,198,177,378315.49
CAMP-00102,Events & Webinars Campaign 2023-02-03,2023-02-03,Events & Webinars,2212.85,38574,3082,532,166,132,190117.23
CAMP-00103,SEO Content Campaign 2023-02-03,2023-02-03,SEO Content,3014.85,69798,3366,332,123,76,197126.42
CAMP-00104,SEO Content Campaign 2023-02-04,2023-02-04,SEO Content,2627.78,37438,763,86,32,26,77432.84
CAMP-00105,Google Ads Campaign 2023-02-04,2023-02-04,Google Ads,3331.07,20763,1496,204,34,29,80710.94
CAMP-00106,SEO Content Campaign 2023-02-05,2023-02-05,SEO Content,733.76,37332,1002,170,37,28,22530.59
CAMP-00107,Email Campaigns Campaign 2023-02-05,2023-02-05,Email Campaigns,1513.0,96747,2142,311,115,85,119306.59
CAMP-00108,LinkedIn Ads Campaign 2023-02-05,2023-02-05,LinkedIn Ads,1829.11,69569,4890,668,171,106,257791.6
CAMP-00109,Partner Referrals Campaign 2023-02-05,2023-02-05,Partner Referrals,777.84,45821,1755,158,26,20,87490.42
CAMP-00110,LinkedIn Ads Campaign 2023-02-06,2023-02-06,LinkedIn Ads,1348.37,26646,2091,322,118,71,313607.04
CAMP-00111,Google Ads Campaign 2023-02-06,2023-02-06,Google Ads,1569.38,56874,3080,273,85,75,309876.76
CAMP-00112,Email Campaigns Campaign 2023-02-06,2023-02-06,Email Campaigns,1083.19,86975,4186,834,179,175,246379.58
CAMP-00113,LinkedIn Ads Campaign 2023-02-07,2023-02-07,LinkedIn Ads,1205.15,69170,2975,208,76,70,170742.36
CAMP-00114,SEO Content Campaign 2023-02-07,2023-02-07,SEO Content,2759.89,59880,1799,101,40,35,70269.69
CAMP-00115,Partner Referrals Campaign 2023-02-08,2023-02-08,Partner Referrals,2683.64,93040,3072,292,91,55,84060.75
CAMP-00116,Google Ads Campaign 2023-02-08,2023-02-08,Google Ads,1381.28,96919,6526,627,139,93,351318.89
CAMP-00117,SEO Content Campaign 2023-02-08,2023-02-08,SEO Content,688.77,11170,549,97,32,21,19498.3
CAMP-00118,Email Campaigns Campaign 2023-02-08,2023-02-08,Email Campaigns,1198.82,47123,2842,485,51,38,139419.16
CAMP-00119,Partner Referrals Campaign 2023-02-09,2023-02-09,Partner Referrals,473.79,55467,2988,477,110,69,97319.62
CAMP-00120,LinkedIn Ads Campaign 2023-02-09,2023-02-09,LinkedIn Ads,2733.95,45917,1673,106,38,28,124457.61
CAMP-00121,SEO Content Campaign 2023-02-09,2023-02-09,SEO Content,1254.12,74969,4614,918,147,123,248798.51
CAMP-00122,Google Ads Campaign 2023-02-10,2023-02-10,Google Ads,2801.22,29403,1158,183,27,17,13670.1
CAMP-00123,Events & Webinars Campaign 2023-02-10,2023-02-10,Events & Webinars,526.31,81373,5687,834,152,108,133579.25
CAMP-00124,Email Campaigns Campaign 2023-02-10,2023-02-10,Email Campaigns,3011.0,89405,2166,168,65,47,38531.81
CAMP-00125,SEO Content Campaign 2023-02-11,2023-02-11,SEO Content,1379.19,67675,2020,356,84,77,140036.94
CAMP-00126,Events & Webinars Campaign 2023-02-11,2023-02-11,Events & Webinars,920.11,34548,1991,379,92,74,66421.66
CAMP-00127,LinkedIn Ads Campaign 2023-02-11,2023-02-11,LinkedIn Ads,2949.25,58813,4582,442,132,113,415844.26
CAMP-00128,Google Ads Campaign 2023-02-11,2023-02-11,Google Ads,308.35,42420,3095,360,61,52,127318.54
CAMP-00129,Email Campaigns Campaign 2023-02-12,2023-02-12,Email Campaigns,2404.72,68630,5181,835,203,158,356209.62
CAMP-00130,SEO Content Campaign 2023-02-12,2023-02-12,SEO Content,2932.77,14703,935,90,31,21,25822.46
CAMP-00131,Google Ads Campaign 2023-02-13,2023-02-13,Google Ads,959.71,17093,477,86,33,26,48960.12
CAMP-00132,SEO Content Campaign 2023-02-13,2023-02-13,SEO Content,1126.2,85881,3598,258,85,67,78684.17
CAMP-00133,Email Campaigns Campaign 2023-02-13,2023-02-13,Email Campaigns,2204.89,23789,487,67,10,6,24416.11
CAMP-00134,Events & Webinars Campaign 2023-02-13,2023-02-13,Events & Webinars,3057.68,57984,4192,320,55,42,173467.78
CAMP-00135,Events & Webinars Campaign 2023-02-14,2023-02-14,Events & Webinars,678.96,21199,739,92,21,20,73565.75
CAMP-00136,Partner Referrals Campaign 2023-02-14,2023-02-14,Partner Referrals,2755.72,72351,3961,409,48,40,116696.11
CAMP-00137,Google Ads Campaign 2023-02-14,2023-02-14,Google Ads,818.43,13696,834,123,19,15,15248.71
CAMP-00138,SEO Content Campaign 2023-02-14,2023-02-14,SEO Content,1383.05,62013,2742,511,139,113,176806.3
CAMP-00139,SEO Content Campaign 2023-02-15,2023-02-15,SEO Content,681.97,87743,3385,349,113,91,216672.66
CAMP-00140,LinkedIn Ads Campaign 2023-02-15,2023-02-15,LinkedIn Ads,1947.17,66426,1419,250,98,74,247558.73
CAMP-00141,Partner Referrals Campaign 2023-02-15,2023-02-15,Partner Referrals,3475.93,83396,2031,312,56,54,170618.35
CAMP-00142,Google Ads Campaign 2023-02-15,2023-02-15,Google Ads,444.17,81741,1877,356,125,116,354232.87
CAMP-00143,Partner Referrals Campaign 2023-02-16,2023-02-16,Partner Referrals,2608.86,28299,2140,138,37,22,17853.27
CAMP-00144,Google Ads Campaign 2023-02-16,2023-02-16,Google Ads,2120.58,7669,319,36,10,9,33049.39
CAMP-00145,SEO Content Campaign 2023-02-16,2023-02-16,SEO Content,3011.24,69501,2236,341,107,95,388298.46
CAMP-00146,SEO Content Campaign 2023-02-17,2023-02-17,SEO Content,3459.42,85218,2159,158,46,40,36429.79
CAMP-00147,LinkedIn Ads Campaign 2023-02-17,2023-02-17,LinkedIn Ads,1984.16,25453,847,81,27,21,49578.72
CAMP-00148,Email Campaigns Campaign 2023-02-17,2023-02-17,Email Campaigns,2271.38,59852,4705,723,284,212,530251.26
CAMP-00149,Google Ads Campaign 2023-02-17,2023-02-17,Google Ads,1911.92,73633,2252,141,18,11,16506.99
CAMP-00150,Email Campaigns Campaign 2023-02-18,2023-02-18,Email Campaigns,1341.86,89755,3594,201,80,60,60511.33
CAMP-00151,Partner Referrals Campaign 2023-02-18,2023-02-18,Partner Referrals,3401.34,5778,131,7,2,1,1650.6
CAMP-00152,Events & Webinars Campaign 2023-02-18,2023-02-18,Events & Webinars,2240.87,96243,2415,482,169,164,338884.94
CAMP-00153,SEO Content Campaign 2023-02-18,2023-02-18,SEO Content,1589.3,82540,5340,414,111,105,418233.6
CAMP-00154,Partner Referrals Campaign 2023-02-19,2023-02-19,Partner Referrals,374.59,13141,440,70,10,9,22259.02
CAMP-00155,Google Ads Campaign 2023-02-19,2023-02-19,Google Ads,1798.99,69309,3352,317,52,39,32919.49
CAMP-00156,Events & Webinars Campaign 2023-02-19,2023-02-19,Events & Webinars,1714.81,20168,938,186,62,45,59065.62
CAMP-00157,LinkedIn Ads Campaign 2023-02-19,2023-02-19,LinkedIn Ads,2541.74,73816,3708,644,229,199,823627.92
CAMP-00158,SEO Content Campaign 2023-02-20,2023-02-20,SEO Content,836.35,20099,496,96,21,19,37982.5
CAMP-00159,Email Campaigns Campaign 2023-02-20,2023-02-20,Email Campaigns,634.12,83977,2070,329,70,46,179968.66
CAMP-00160,Google Ads Campaign 2023-02-20,2023-02-20,Google Ads,1908.0,69419,3333,496,66,54,113731.8
CAMP-00161,SEO Content Campaign 2023-02-21,2023-02-21,SEO Content,1101.05,24855,883,142,47,32,82072.99
CAMP-00162,Google Ads Campaign 2023-02-21,2023-02-21,Google Ads,2719.63,49797,3357,422,104,91,154737.95
CAMP-00163,Google Ads Campaign 2023-02-22,2023-02-22,Google Ads,2401.63,50710,2882,434,142,117,156013.42
CAMP-00164,Events & Webinars Campaign 2023-02-22,2023-02-22,Events & Webinars,1651.76,73582,2665,195,49,34,80658.64
CAMP-00165,SEO Content Campaign 2023-02-23,2023-02-23,SEO Content,1848.95,12755,324,54,10,8,20738.82
CAMP-00166,Partner Referrals Campaign 2023-02-23,2023-02-23,Partner Referrals,2535.02,49459,1591,250,58,49,130290.18
CAMP-00167,Events & Webinars Campaign 2023-02-23,2023-02-23,Events & Webinars,369.28,27721,1721,297,99,83,187571.56
CAMP-00168,Email Campaigns Campaign 2023-02-24,2023-02-24,Email Campaigns,1295.9,11937,783,58,21,18,57282.23
CAMP-00169,Partner Referrals Campaign 2023-02-24,2023-02-24,Partner Referrals,1091.53,37352,2945,458,166,115,472509.12
CAMP-00170,Google Ads Campaign 2023-02-24,2023-02-24,Google Ads,2679.4,86575,6889,444,157,155,672993.28
CAMP-00171,LinkedIn Ads Campaign 2023-02-24,2023-02-24,LinkedIn Ads,655.98,24140,628,115,42,28,75436.06
CAMP-00172,Google Ads Campaign 2023-02-25,2023-02-25,Google Ads,2250.57,74205,2135,226,23,14,35057.43
CAMP-00173,SEO Content Campaign 2023-02-25,2023-02-25,SEO Content,1630.61,6915,186,17,3,2,3853.79
CAMP-00174,Email Campaigns Campaign 2023-02-25,2023-02-25,Email Campaigns,1416.53,50224,2845,499,193,117,278164.25
CAMP-00175,Partner Referrals Campaign 2023-02-25,2023-02-25,Partner Referrals,3148.23,85684,6335,1058,208,199,430750.54
CAMP-00176,Email Campaigns Campaign 2023-02-26,2023-02-26,Email Campaigns,3102.92,76569,5702,585,163,106,306220.7
CAMP-00177,Partner Referrals Campaign 2023-02-26,2023-02-26,Partner Referrals,1020.68,91472,2280,370,118,103,268896.13
CAMP-00178,Events & Webinars Campaign 2023-02-27,2023-02-27,Events & Webinars,1125.65,88729,4461,412,65,55,110361.11
CAMP-00179,Google Ads Campaign 2023-02-27,2023-02-27,Google Ads,1139.46,76542,4759,778,297,184,494923.46
CAMP-00180,SEO Content Campaign 2023-02-27,2023-02-27,SEO Content,2213.91,32835,1019,91,19,17,69920.74
CAMP-00181,LinkedIn Ads Campaign 2023-02-27,2023-02-27,LinkedIn Ads,1048.78,36134,2208,352,87,65,148907.13
CAMP-00182,Google Ads Campaign 2023-02-28,2023-02-28,Google Ads,2505.03,92171,4770,840,302,293,540824.2
CAMP-00183,SEO Content Campaign 2023-02-28,2023-02-28,SEO Content,434.84,62206,3356,434,58,42,166127.95
CAMP-00184,Email Campaigns Campaign 2023-03-01,2023-03-01,Email Campaigns,2172.68,7915,328,40,4,2,2115.99
CAMP-00185,LinkedIn Ads Campaign 2023-03-01,2023-03-01,LinkedIn Ads,3023.69,18232,475,56,13,9,35281.26
CAMP-00186,Partner Referrals Campaign 2023-03-01,2023-03-01,Partner Referrals,984.43,33578,2235,422,75,74,86665.85
CAMP-00187,SEO Content Campaign 2023-03-02,2023-03-02,SEO Content,2865.69,27158,664,49,17,10,10784.8
CAMP-00188,LinkedIn Ads Campaign 2023-03-02,2023-03-02,LinkedIn Ads,1810.05,18606,978,88,26,16,42802.13
CAMP-00189,Events & Webinars Campaign 2023-03-03,2023-03-03,Events & Webinars,1465.81,79276,2943,415,144,106,291759.66
CAMP-00190,Email Campaigns Campaign 2023-03-03,2023-03-03,Email Campaigns,1714.37,11882,885,133,21,14,49545.21
CAMP-00191,Email Campaigns Campaign 2023-03-04,2023-03-04,Email Campaigns,518.2,86343,4452,491,98,88,363515.14
CAMP-00192,Google Ads Campaign 2023-03-04,2023-03-04,Google Ads,1605.74,74998,3862,571,69,53,217254.35
CAMP-00193,Partner Referrals Campaign 2023-03-05,2023-03-05,Partner Referrals,2184.65,44240,1327,137,28,25,45936.63
CAMP-00194,Events & Webinars Campaign 2023-03-05,2023-03-05,Events & Webinars,2628.44,57284,2729,441,143,89,195156.03
CAMP-00195,LinkedIn Ads Campaign 2023-03-06,2023-03-06,LinkedIn Ads,3481.84,24892,1622,141,24,21,60113.14
CAMP-00196,SEO Content Campaign 2023-03-06,2023-03-06,SEO Content,2793.81,18898,384,53,8,6,9622.58
CAMP-00197,Email Campaigns Campaign 2023-03-06,2023-03-06,Email Campaigns,1422.07,32206,653,88,27,18,43012.02
CAMP-00198,Partner Referrals Campaign 2023-03-06,2023-03-06,Partner Referrals,877.67,92974,6973,1323,370,230,375981.75
CAMP-00199,Events & Webinars Campaign 2023-03-07,2023-03-07,Events & Webinars,976.91,20445,1507,301,78,72,61960.97
CAMP-00200,Email Campaigns Campaign 2023-03-07,2023-03-07,Email Campaigns,2068.32,27552,863,51,15,9,12293.48
CAMP-00201,Google Ads Campaign 2023-03-08,2023-03-08,Google Ads,2249.49,76050,1924,186,58,47,206262.8
CAMP-00202,Partner Referrals Campaign 2023-03-08,2023-03-08,Partner Referrals,1926.03,65397,3381,653,223,143,499180.78
CAMP-00203,Email Campaigns Campaign 2023-03-09,2023-03-09,Email Campaigns,755.93,96592,5235,830,246,148,376651.73
CAMP-00204,SEO Content Campaign 2023-03-09,2023-03-09,SEO Content,1681.03,78879,2430,286,78,68,217601.43
CAMP-00205,Events & Webinars Campaign 2023-03-09,2023-03-09,Events & Webinars,1509.1,67065,5169,367,82,71,238761.46
CAMP-00206,LinkedIn Ads Campaign 2023-03-10,2023-03-10,LinkedIn Ads,2225.25,19276,1229,94,25,21,85068.1
CAMP-00207,Partner Referrals Campaign 2023-03-10,2023-03-10,Partner Referrals,2671.18,50411,1250,207,76,62,222193.75
CAMP-00208,Google Ads Campaign 2023-03-11,2023-03-11,Google Ads,3486.18,62378,3810,437,49,37,122303.41
CAMP-00209,Partner Referrals Campaign 2023-03-11,2023-03-11,Partner Referrals,2823.23,63447,2466,387,57,49,44920.32
CAMP-00210,Events & Webinars Campaign 2023-03-11,2023-03-11,Events & Webinars,1037.39,22099,1333,231,86,83,242630.99
CAMP-00211,LinkedIn Ads Campaign 2023-03-11,2023-03-11,LinkedIn Ads,2210.51,98414,2514,493,125,77,68411.23
CAMP-00212,Partner Referrals Campaign 2023-03-12,2023-03-12,Partner Referrals,1300.88,10245,273,35,9,6,8412.89
CAMP-00213,Events & Webinars Campaign 2023-03-12,2023-03-12,Events & Webinars,3305.52,80220,5494,739,109,65,129600.85
CAMP-00214,Partner Referrals Campaign 2023-03-13,2023-03-13,Partner Referrals,1639.4,70165,4135,381,59,52,110863.41
CAMP-00215,Google Ads Campaign 2023-03-13,2023-03-13,Google Ads,1150.73,8239,332,30,6,3,13298.58
CAMP-00216,Events & Webinars Campaign 2023-03-14,2023-03-14,Events & Webinars,2823.69,44900,2562,498,196,138,204167.37
CAMP-00217,SEO Content Campaign 2023-03-14,2023-03-14,SEO Content,3326.28,36888,830,112,16,13,36759.82
CAMP-00218,LinkedIn Ads Campaign 2023-03-15,2023-03-15,LinkedIn Ads,2189.82,74240,3291,568,182,144,115518.66
CAMP-00219,SEO Content Campaign 2023-03-15,2023-03-15,SEO Content,1660.2,82663,5730,772,295,266,751309.06
CAMP-00220,Email Campaigns Campaign 2023-03-16,2023-03-16,Email Campaigns,1117.78,32525,1778,292,79,77,286608.62
