operation_id,order_id,processing_time,fulfillment_time,delivery_time,inventory_level,inventory_turnover,sla_target,sla_actual,sla_status
OPS-006386,ORD-006386,0.5,4.0,1.8,1524,13.01,5.0,2.0,Met
OPS-006122,ORD-006122,1.1,6.4,4.2,517,7.96,5.0,4.5,Met
OPS-002683,ORD-002683,3.1,4.8,4.3,517,4.86,5.0,4.6,Met
OPS-000156,ORD-000156,1.4,4.6,6.3,223,7.02,5.0,6.5,Breached
OPS-005663,ORD-005663,2.5,3.4,2.1,875,13.59,5.0,2.3,Met
OPS-000316,ORD-000316,3.5,3.6,1.3,1840,12.86,5.0,1.6,Met
OPS-003797,ORD-003797,1.0,5.9,3.5,1448,12.48,5.0,3.8,Met
OPS-005643,ORD-005643,0.9,3.2,6.7,1495,4.11,5.0,6.9,Breached
OPS-009352,ORD-009352,0.7,2.8,1.9,555,6.08,5.0,2.0,Met
OPS-009679,ORD-009679,3.9,1.3,5.6,842,13.02,5.0,5.8,Breached
OPS-005665,ORD-005665,3.0,3.5,6.5,1424,9.3,5.0,6.8,Breached
OPS-010698,ORD-010698,3.5,7.1,3.5,536,7.92,5.0,3.9,Met
OPS-012096,ORD-012096,1.0,4.6,6.5,1365,7.76,5.0,6.7,Breached
OPS-002805,ORD-002805,0.7,1.9,2.9,1066,9.98,5.0,3.0,Met
OPS-003608,ORD-003608,3.5,3.9,6.8,1352,6.97,5.0,7.1,Breached
OPS-010457,ORD-010457,1.6,5.2,3.1,1911,10.9,5.0,3.4,Met
OPS-009065,ORD-009065,2.8,6.6,4.5,1053,13.24,5.0,4.9,Met
OPS-000562,ORD-000562,2.6,2.6,4.7,1024,8.6,5.0,4.9,Met
OPS-000493,ORD-000493,2.5,5.5,3.7,1463,7.64,5.0,4.0,Met
OPS-001529,ORD-001529,4.0,4.5,2.3,215,10.52,5.0,2.7,Met
OPS-004262,ORD-004262,0.7,7.4,1.8,1807,8.78,5.0,2.1,Met
OPS-009012,ORD-009012,2.0,7.8,3.8,230,10.31,5.0,4.2,Met
OPS-000399,ORD-000399,1.6,3.8,5.8,1802,13.99,5.0,6.0,Breached
OPS-002365,ORD-002365,2.9,1.5,3.6,558,8.21,5.0,3.8,Met
OPS-001387,ORD-001387,0.7,6.2,6.3,343,10.77,5.0,6.6,Breached
OPS-008120,ORD-008120,3.6,4.3,4.6,1670,13.7,5.0,4.9,Met
OPS-005901,ORD-005901,0.5,4.5,5.0,993,5.45,5.0,5.2,Breached
OPS-010540,ORD-010540,3.7,5.6,5.3,443,6.21,5.0,5.7,Breached
OPS-011352,ORD-011352,2.5,7.1,3.6,424,4.17,5.0,4.0,Met
OPS-008352,ORD-008352,2.4,4.9,1.4,1648,12.63,5.0,1.7,Met
OPS-004006,ORD-004006,1.9,7.0,2.4,1836,7.66,5.0,2.8,Met
OPS-003393,ORD-003393,3.7,4.7,3.2,507,4.42,5.0,3.6,Met
OPS-010500,ORD-010500,3.9,5.7,1.5,1531,9.39,5.0,1.9,Met
OPS-010749,ORD-010749,3.3,4.4,7.0,983,6.93,5.0,7.3,Breached
OPS-011779,ORD-011779,0.5,1.2,6.8,1107,7.21,5.0,6.9,Breached
OPS-003925,ORD-003925,2.7,7.4,4.6,296,13.9,5.0,5.0,Met
OPS-009417,ORD-009417,3.7,5.9,3.0,1791,7.18,5.0,3.4,Met
OPS-012283,ORD-012283,2.8,5.9,5.5,1774,12.48,5.0,5.9,Breached
OPS-002740,ORD-002740,1.5,3.7,4.8,548,9.9,5.0,5.0,Met
OPS-010331,ORD-010331,4.0,5.8,3.1,1288,7.33,5.0,3.5,Met
OPS-002282,ORD-002282,3.8,3.8,3.2,205,6.78,5.0,3.5,Met
OPS-011274,ORD-011274,3.7,1.9,1.2,814,8.45,5.0,1.4,Met
OPS-002391,ORD-002391,3.6,3.7,2.5,561,4.17,5.0,2.8,Met
OPS-003548,ORD-003548,1.9,1.0,4.6,888,8.4,5.0,4.7,Met
OPS-011314,ORD-011314,1.2,6.6,4.3,394,11.8,5.0,4.6,Met
OPS-005959,ORD-005959,1.4,4.8,2.2,886,9.63,5.0,2.5,Met
OPS-011083,ORD-011083,2.9,7.7,4.7,1570,7.43,5.0,5.1,Breached
OPS-003365,ORD-003365,3.1,3.1,2.2,244,5.57,5.0,2.5,Met
OPS-006440,ORD-006440,3.1,5.9,2.1,652,6.11,5.0,2.5,Met
OPS-010291,ORD-010291,2.4,7.2,2.1,734,4.96,5.0,2.5,Met
OPS-009157,ORD-009157,1.1,7.4,5.9,527,7.33,5.0,6.3,Breached
OPS-007792,ORD-007792,3.7,2.3,4.8,1389,13.08,5.0,5.0,Met
OPS-010034,ORD-010034,2.9,3.5,5.1,1379,7.14,5.0,5.4,Breached
OPS-006124,ORD-006124,3.9,1.3,7.0,486,5.26,5.0,7.2,Breached
OPS-007316,ORD-007316,1.5,4.4,6.8,1298,13.48,5.0,7.0,Breached
OPS-000111,ORD-000111,1.4,1.2,6.4,1441,6.85,5.0,6.5,Breached
OPS-002263,ORD-002263,3.2,7.4,4.8,836,6.12,5.0,5.2,Breached
OPS-002541,ORD-002541,3.8,2.2,5.0,1427,7.69,5.0,5.2,Breached
OPS-003546,ORD-003546,3.7,4.1,6.6,1859,10.02,5.0,6.9,Breached
OPS-005315,ORD-005315,1.2,3.8,3.1,1131,10.48,5.0,3.3,Met
OPS-008913,ORD-008913,3.6,1.0,4.8,212,6.27,5.0,5.0,Met
OPS-006779,ORD-006779,0.8,4.2,2.5,1441,9.03,5.0,2.7,Met
OPS-008959,ORD-008959,2.2,3.0,5.7,1483,8.65,5.0,5.9,Breached
OPS-001978,ORD-001978,4.0,4.1,6.1,603,11.89,5.0,6.4,Breached
OPS-003332,ORD-003332,2.1,1.5,1.2,803,13.51,5.0,1.4,Met
OPS-001019,ORD-001019,2.6,2.6,4.8,1668,4.91,5.0,5.0,Met
OPS-010231,ORD-010231,2.8,2.7,6.4,1447,14.0,5.0,6.6,Breached
OPS-010519,ORD-010519,2.6,2.4,5.2,518,7.46,5.0,5.4,Breached
OPS-007078,ORD-007078,3.1,1.6,6.8,1740,5.48,5.0,7.0,Breached
OPS-001253,ORD-001253,0.8,6.1,3.7,445,10.39,5.0,4.0,Met
OPS-005079,ORD-005079,2.4,5.9,2.3,1788,4.25,5.0,2.6,Met
OPS-004296,ORD-004296,2.5,7.5,5.9,391,5.63,5.0,6.3,Breached
OPS-009452,ORD-009452,3.8,3.7,6.7,1161,5.3,5.0,7.0,Breached
OPS-008216,ORD-008216,3.8,5.5,6.4,1961,12.48,5.0,6.8,Breached
OPS-009318,ORD-009318,0.9,6.3,2.7,1673,9.96,5.0,3.0,Met
OPS-006642,ORD-006642,1.1,5.2,3.1,1022,10.02,5.0,3.4,Met
OPS-002407,ORD-002407,2.3,1.4,2.1,519,8.72,5.0,2.3,Met
OPS-008845,ORD-008845,3.3,4.9,2.9,335,13.66,5.0,3.2,Met
OPS-009463,ORD-009463,3.3,2.1,5.4,848,10.35,5.0,5.6,Breached
OPS-006068,ORD-006068,1.3,3.3,3.6,945,4.61,5.0,3.8,Met
OPS-002415,ORD-002415,3.4,4.0,1.7,698,4.89,5.0,2.0,Met
OPS-005345,ORD-005345,3.6,7.9,1.3,646,12.38,5.0,1.8,Met
OPS-008509,ORD-008509,3.8,3.7,4.5,802,8.38,5.0,4.8,Met
OPS-012203,ORD-012203,2.9,3.9,4.0,1572,10.66,5.0,4.3,Met
OPS-000162,ORD-000162,1.1,5.1,2.3,1215,5.24,5.0,2.6,Met
OPS-003849,ORD-003849,3.1,5.7,4.5,1022,10.33,5.0,4.9,Met
OPS-001678,ORD-001678,1.3,5.2,1.7,1738,5.45,5.0,2.0,Met
OPS-009790,ORD-009790,3.8,3.7,3.9,1482,8.39,5.0,4.2,Met
OPS-010409,ORD-010409,2.2,1.1,4.9,698,4.31,5.0,5.0,Met
OPS-000109,ORD-000109,1.8,5.5,1.2,802,11.92,5.0,1.5,Met
OPS-000072,ORD-000072,2.1,7.7,3.0,262,10.56,5.0,3.4,Met
OPS-005380,ORD-005380,3.7,1.5,6.7,361,8.84,5.0,6.9,Breached
OPS-010583,ORD-010583,3.6,5.1,4.4,1140,11.96,5.0,4.8,Met
OPS-009535,ORD-009535,1.3,5.4,3.6,1350,6.0,5.0,3.9,Met
OPS-003142,ORD-003142,3.3,1.6,1.3,1225,11.31,5.0,1.5,Met
OPS-005303,ORD-005303,3.2,2.7,3.7,955,11.0,5.0,3.9,Met
OPS-001950,ORD-001950,0.9,2.0,1.1,1826,10.65,5.0,1.2,Met
OPS-010771,ORD-010771,2.5,5.0,1.1,1917,5.93,5.0,1.4,Met
OPS-007211,ORD-007211,0.9,1.8,5.7,1482,9.42,5.0,5.8,Breached
OPS-002417,ORD-002417,1.3,6.3,3.8,1373,4.51,5.0,4.1,Met
OPS-011527,ORD-011527,2.2,3.0,6.7,600,10.24,5.0,6.9,Breached
OPS-008395,ORD-008395,2.1,2.3,6.7,480,6.46,5.0,6.9,Breached
OPS-000367,ORD-000367,1.1,5.6,6.5,753,7.01,5.0,6.8,Breached
OPS-011094,ORD-011094,2.4,1.1,3.7,1720,12.9,5.0,3.8,Met
OPS-006051,ORD-006051,3.3,5.0,2.3,816,10.96,5.0,2.6,Met
OPS-006135,ORD-006135,2.1,5.2,4.5,680,8.33,5.0,4.8,Met
OPS-002672,ORD-002672,1.7,6.1,4.6,478,5.54,5.0,4.9,Met
OPS-010594,ORD-010594,3.4,2.8,1.7,412,7.61,5.0,2.0,Met
OPS-009427,ORD-009427,1.5,6.7,1.6,1244,12.29,5.0,1.9,Met
OPS-004311,ORD-004311,2.0,7.7,3.6,1979,6.35,5.0,4.0,Met
OPS-007198,ORD-007198,3.0,5.2,3.0,945,5.29,5.0,3.3,Met
OPS-006313,ORD-006313,0.7,7.6,5.7,1483,6.32,5.0,6.0,Breached
OPS-000715,ORD-000715,1.6,7.8,4.9,1340,4.56,5.0,5.3,Breached
OPS-000873,ORD-000873,1.9,5.4,4.5,1274,6.91,5.0,4.8,Met
OPS-009353,ORD-009353,3.5,5.2,1.9,418,12.72,5.0,2.3,Met
OPS-007507,ORD-007507,0.5,4.9,6.3,1999,11.35,5.0,6.5,Breached
OPS-000734,ORD-000734,1.3,4.0,6.8,826,7.93,5.0,7.0,Breached
OPS-000586,ORD-000586,0.8,5.5,3.7,1648,6.59,5.0,4.0,Met
OPS-007619,ORD-007619,3.0,5.8,4.7,1497,4.72,5.0,5.1,Breached
OPS-003423,ORD-003423,3.5,6.9,6.0,505,10.22,5.0,6.4,Breached
OPS-004432,ORD-004432,3.9,3.5,4.7,1869,8.39,5.0,5.0,Met
OPS-006106,ORD-006106,1.9,3.0,2.4,768,11.49,5.0,2.6,Met
OPS-000499,ORD-000499,0.6,4.3,5.4,1387,12.09,5.0,5.6,Breached
OPS-005065,ORD-005065,1.1,7.5,3.2,1410,7.54,5.0,3.6,Met
OPS-009058,ORD-009058,0.6,4.6,6.6,898,4.79,5.0,6.8,Breached
OPS-007367,ORD-007367,3.6,1.7,5.1,839,4.38,5.0,5.3,Breached
OPS-011127,ORD-011127,2.7,6.6,2.2,1488,11.0,5.0,2.6,Met
OPS-005777,ORD-005777,0.7,3.4,2.8,729,5.67,5.0,3.0,Met
OPS-010429,ORD-010429,3.8,3.2,1.7,357,4.55,5.0,2.0,Met
OPS-008735,ORD-008735,3.9,3.7,1.9,786,11.52,5.0,2.2,Met
OPS-007785,ORD-007785,1.3,3.6,3.5,597,8.31,5.0,3.7,Met
OPS-008638,ORD-008638,1.4,2.2,7.0,857,13.59,5.0,7.2,Breached
OPS-003223,ORD-003223,1.0,3.3,2.0,709,11.27,5.0,2.2,Met
OPS-002132,ORD-002132,2.5,2.7,5.4,1693,12.51,5.0,5.6,Breached
OPS-002813,ORD-002813,0.8,5.7,4.0,181,11.58,5.0,4.3,Met
OPS-009439,ORD-009439,2.8,4.2,4.3,987,4.07,5.0,4.6,Met
OPS-007127,ORD-007127,2.2,4.8,4.7,762,4.17,5.0,5.0,Met
OPS-010726,ORD-010726,2.8,7.2,6.3,1986,10.71,5.0,6.7,Breached
OPS-000081,ORD-000081,1.7,8.0,5.6,858,5.17,5.0,6.0,Breached
OPS-003449,ORD-003449,3.4,1.6,6.8,517,4.85,5.0,7.0,Breached
OPS-007956,ORD-007956,3.0,3.2,2.9,289,10.29,5.0,3.2,Met
OPS-001301,ORD-001301,2.3,1.9,4.2,741,9.04,5.0,4.4,Met
OPS-011716,ORD-011716,2.1,4.1,1.1,1252,9.57,5.0,1.4,Met
OPS-002472,ORD-002472,0.6,4.2,6.0,1347,11.67,5.0,6.2,Breached
OPS-011510,ORD-011510,1.8,1.2,6.6,370,9.1,5.0,6.7,Breached
OPS-008230,ORD-008230,1.8,5.5,6.0,870,5.47,5.0,6.3,Breached
OPS-003866,ORD-003866,1.6,4.6,5.2,596,11.46,5.0,5.5,Breached
OPS-009351,ORD-009351,3.7,3.9,1.5,1191,13.36,5.0,1.8,Met
OPS-000645,ORD-000645,0.6,5.3,5.7,1037,5.55,5.0,5.9,Breached
OPS-002471,ORD-002471,3.7,7.0,6.0,862,12.96,5.0,6.4,Breached
OPS-012222,ORD-012222,1.0,7.4,6.1,377,5.05,5.0,6.4,Breached
OPS-003063,ORD-003063,1.7,3.8,2.2,1475,6.77,5.0,2.4,Met
OPS-011975,ORD-011975,1.4,1.2,2.9,993,9.02,5.0,3.0,Met
OPS-010931,ORD-010931,3.6,7.4,3.9,1923,8.56,5.0,4.4,Met
OPS-010993,ORD-010993,3.4,2.1,4.7,689,5.75,5.0,4.9,Met
OPS-011342,ORD-011342,1.1,7.9,1.9,317,4.04,5.0,2.3,Met
OPS-005375,ORD-005375,3.3,7.7,3.4,1014,7.16,5.0,3.9,Met
OPS-009277,ORD-009277,3.4,5.4,2.5,297,4.8,5.0,2.9,Met
OPS-000986,ORD-000986,2.4,1.7,2.2,1986,9.37,5.0,2.4,Met
OPS-007429,ORD-007429,1.4,2.3,3.3,1406,7.34,5.0,3.5,Met
OPS-008002,ORD-008002,2.9,1.8,6.7,766,10.13,5.0,6.9,Breached
OPS-010939,ORD-010939,2.7,4.3,6.4,982,13.22,5.0,6.7,Breached
OPS-003755,ORD-003755,2.4,5.7,3.8,680,12.35,5.0,4.1,Met
OPS-004921,ORD-004921,1.9,7.9,5.3,562,4.61,5.0,5.7,Breached
OPS-009519,ORD-009519,0.6,2.7,3.1,398,13.76,5.0,3.2,Met
OPS-001452,ORD-001452,1.1,2.3,3.0,918,6.63,5.0,3.1,Met
OPS-008377,ORD-008377,3.8,5.7,5.0,1313,7.74,5.0,5.4,Breached
OPS-006510,ORD-006510,2.1,1.1,1.4,1401,13.13,5.0,1.5,Met
OPS-004632,ORD-004632,3.1,6.2,2.4,555,4.5,5.0,2.8,Met
OPS-005592,ORD-005592,1.7,5.7,6.9,1753,13.3,5.0,7.2,Breached
OPS-010978,ORD-010978,0.9,7.2,4.7,510,8.79,5.0,5.0,Met
OPS-012213,ORD-012213,1.0,1.6,6.0,1193,8.34,5.0,6.1,Breached
OPS-003603,ORD-003603,3.2,5.0,3.7,691,8.34,5.0,4.0,Met
OPS-003284,ORD-003284,1.0,2.3,3.0,504,5.21,5.0,3.1,Met
OPS-004112,ORD-004112,1.8,2.5,6.3,176,12.97,5.0,6.5,Breached
OPS-006892,ORD-006892,1.6,2.7,5.8,1969,10.45,5.0,6.0,Breached
OPS-003037,ORD-003037,3.2,2.2,3.0,408,8.35,5.0,3.2,Met
OPS-009006,ORD-009006,1.9,1.2,4.4,583,12.3,5.0,4.5,Met
OPS-008730,ORD-008730,1.2,6.7,1.3,945,5.96,5.0,1.6,Met
OPS-006703,ORD-006703,2.4,1.5,3.9,1475,13.68,5.0,4.1,Met
OPS-009093,ORD-009093,0.6,7.4,1.1,1576,13.24,5.0,1.4,Met
OPS-011541,ORD-011541,1.2,8.0,4.1,551,4.86,5.0,4.5,Met
OPS-002919,ORD-002919,0.7,1.0,2.1,1850,8.62,5.0,2.2,Met
OPS-008471,ORD-008471,2.2,7.7,5.8,1729,11.55,5.0,6.2,Breached
OPS-007472,ORD-007472,3.7,4.0,5.5,967,10.55,5.0,5.8,Breached
OPS-001363,ORD-001363,3.9,3.1,5.2,250,6.47,5.0,5.5,Breached
OPS-006821,ORD-006821,0.7,4.2,5.7,1979,4.19,5.0,5.9,Breached
OPS-012421,ORD-012421,0.9,2.3,5.8,664,9.72,5.0,5.9,Breached
OPS-006519,ORD-006519,2.7,6.6,4.8,1444,5.08,5.0,5.2,Breached
OPS-011224,ORD-011224,3.1,7.8,4.3,335,5.86,5.0,4.8,Met
OPS-001635,ORD-001635,0.6,4.6,2.0,753,11.32,5.0,2.2,Met
OPS-007209,ORD-007209,3.6,4.7,1.7,1391,12.97,5.0,2.0,Met
OPS-005541,ORD-005541,2.9,6.6,3.1,1101,4.41,5.0,3.5,Met
OPS-009930,ORD-009930,2.0,7.5,1.6,387,7.91,5.0,2.0,Met
OPS-008287,ORD-008287,0.6,3.9,1.6,1599,5.73,5.0,1.8,Met
OPS-009477,ORD-009477,1.6,4.0,1.5,789,11.43,5.0,1.7,Met
OPS-000083,ORD-000083,2.3,2.6,2.2,1526,9.37,5.0,2.4,Met
OPS-005074,ORD-005074,1.6,4.9,3.8,1911,5.99,5.0,4.1,Met
OPS-012230,ORD-012230,1.2,4.1,6.7,1055,12.54,5.0,6.9,Breached
OPS-008238,ORD-008238,1.2,4.5,3.8,1737,7.79,5.0,4.0,Met
OPS-001911,ORD-001911,0.5,2.4,1.1,1791,13.69,5.0,1.2,Met
OPS-006768,ORD-006768,2.8,5.9,1.8,421,7.09,5.0,2.2,Met
OPS-002991,ORD-002991,1.0,7.3,3.0,1407,9.97,5.0,3.3,Met
OPS-009673,ORD-009673,1.4,7.5,1.4,944,4.13,5.0,1.8,Met
OPS-001831,ORD-001831,3.3,5.4,6.4,201,6.42,5.0,6.8,Breached
OPS-002162,ORD-002162,1.8,4.0,5.3,379,6.22,5.0,5.5,Breached
OPS-003081,ORD-003081,2.9,4.1,1.6,158,4.1,5.0,1.9,Met
OPS-000030,ORD-000030,1.2,1.7,6.4,1556,11.76,5.0,6.5,Breached
OPS-007197,ORD-007197,3.6,6.3,4.7,908,5.78,5.0,5.1,Breached
OPS-009970,ORD-009970,2.2,7.2,6.8,1606,9.25,5.0,7.2,Breached
OPS-001182,ORD-001182,2.1,5.8,3.0,707,6.01,5.0,3.3,Met
OPS-002808,ORD-002808,3.9,3.8,6.7,864,10.98,5.0,7.0,Breached
OPS-002832,ORD-002832,1.8,6.2,5.6,1912,11.82,5.0,5.9,Breached
OPS-012255,ORD-012255,2.2,5.8,3.1,1964,11.95,5.0,3.4,Met
OPS-006706,ORD-006706,3.8,1.9,4.8,871,13.66,5.0,5.0,Met
OPS-003186,ORD-003186,2.8,1.6,3.9,1629,4.8,5.0,4.1,Met
OPS-000479,ORD-000479,1.9,2.4,6.6,466,8.56,5.0,6.8,Breached
OPS-007152,ORD-007152,3.7,2.9,4.7,508,4.58,5.0,5.0,Met
OPS-011653,ORD-011653,0.7,4.0,5.9,1245,13.97,5.0,6.1,Breached
OPS-009168,ORD-009168,2.1,1.1,3.8,100,6.69,5.0,3.9,Met
OPS-012388,ORD-012388,1.2,6.2,3.3,1747,10.73,5.0,3.6,Met
OPS-006314,ORD-006314,1.5,1.7,3.9,628,6.9,5.0,4.0,Met
OPS-008819,ORD-008819,1.5,1.9,2.4,274,8.1,5.0,2.5,Met
OPS-012272,ORD-012272,0.6,3.2,4.7,305,11.98,5.0,4.9,Met
