order_id,order_date,customer_id,product_id,region_id,sales_rep_id,quantity,unit_price,discount,revenue,cost,profit,sales_target
ORD-001579,2023-01-03,CUST-00057,PROD-107,REG-04,EMP-0497,12,850.0,0.15,8670.0,3600.0,5070.0,7823.86
ORD-006112,2023-01-03,CUST-00537,PROD-122,REG-01,EMP-0223,3,692.47,0.15,1765.8,1379.07,386.73,1901.0
ORD-002025,2023-01-03,CUST-00438,PROD-128,REG-05,EMP-0403,13,5873.04,0.0,76349.52,30739.67,45609.85,78352.36
ORD-011337,2023-01-03,CUST-00637,PROD-111,REG-01,EMP-0465,4,1400.0,0.1,5040.0,2800.0,2240.0,4717.29
ORD-001192,2023-01-03,CUST-00227,PROD-110,REG-02,EMP-0451,12,5000.0,0.2,48000.0,30000.0,18000.0,50203.28
ORD-007401,2023-01-03,CUST-01227,PROD-120,REG-02,EMP-0326,11,3823.19,0.1,37849.58,23702.69,14146.89,42804.01
ORD-007574,2023-01-03,CUST-00798,PROD-127,REG-05,EMP-0393,2,3151.44,0.2,5042.3,4345.6,696.7,5072.69
ORD-003894,2023-01-03,CUST-00951,PROD-104,REG-05,EMP-0267,9,6000.0,0.1,48600.0,31500.0,17100.0,48339.8
ORD-005919,2023-01-04,CUST-00040,PROD-118,REG-02,EMP-0172,4,2603.78,0.1,9373.61,5498.64,3874.97,8719.0
ORD-004216,2023-01-04,CUST-00981,PROD-120,REG-03,EMP-0033,12,3823.19,0.2,36702.62,25857.48,10845.14,34688.83
ORD-005870,2023-01-04,CUST-01982,PROD-125,REG-02,EMP-0137,10,724.55,0.15,6158.68,4206.4,1952.28,5772.42
ORD-002742,2023-01-04,CUST-00791,PROD-114,REG-02,EMP-0399,10,893.59,0.05,8489.1,5907.1,2582.0,8703.6
ORD-012443,2023-01-04,CUST-01309,PROD-126,REG-04,EMP-0386,1,4816.77,0.1,4335.09,2679.26,1655.83,4528.13
ORD-006490,2023-01-04,CUST-02151,PROD-116,REG-02,EMP-0043,2,765.62,0.1,1378.12,924.7,453.42,1371.37
ORD-002577,2023-01-04,CUST-01221,PROD-129,REG-03,EMP-0012,14,4774.71,0.0,66845.94,36766.1,30079.84,63789.21
ORD-007215,2023-01-04,CUST-01566,PROD-109,REG-03,EMP-0086,6,3500.0,0.0,21000.0,9000.0,12000.0,23983.7
ORD-010001,2023-01-04,CUST-01304,PROD-109,REG-04,EMP-0103,7,3500.0,0.0,24500.0,10500.0,14000.0,22916.09
ORD-005255,2023-01-04,CUST-02177,PROD-113,REG-01,EMP-0057,5,459.73,0.05,2183.72,1350.15,833.57,2220.69
ORD-012209,2023-01-04,CUST-00661,PROD-112,REG-01,EMP-0117,9,2100.0,0.1,17010.0,8100.0,8910.0,16250.91
ORD-004736,2023-01-04,CUST-01077,PROD-127,REG-05,EMP-0334,6,3151.44,0.0,18908.64,13036.8,5871.84,21144.56
ORD-004331,2023-01-04,CUST-01848,PROD-127,REG-05,EMP-0033,7,3151.44,0.15,18751.07,15209.6,3541.47,19089.31
ORD-003645,2023-01-04,CUST-02247,PROD-129,REG-01,EMP-0397,13,4774.71,0.2,49656.98,34139.95,15517.03,56310.78
ORD-006629,2023-01-04,CUST-01073,PROD-123,REG-03,EMP-0351,12,4325.0,0.2,41520.0,22685.16,18834.84,47261.42
ORD-009587,2023-01-04,CUST-01286,PROD-116,REG-01,EMP-0033,12,765.62,0.05,8728.07,5548.2,3179.87,8909.01
ORD-005338,2023-01-04,CUST-02273,PROD-101,REG-01,EMP-0159,9,2500.0,0.05,21375.0,10800.0,10575.0,24269.14
ORD-000278,2023-01-05,CUST-00585,PROD-128,REG-02,EMP-0349,14,5873.04,0.2,65778.05,33104.26,32673.79,69996.82
ORD-009243,2023-01-05,CUST-00747,PROD-115,REG-02,EMP-0449,2,826.6,0.05,1570.54,886.86,683.68,1804.88
ORD-002827,2023-01-05,CUST-00440,PROD-109,REG-02,EMP-0403,12,3500.0,0.0,42000.0,18000.0,24000.0,39562.15
ORD-002788,2023-01-05,CUST-00438,PROD-116,REG-05,EMP-0254,15,765.62,0.05,10910.08,6935.25,3974.83,11730.08
ORD-011713,2023-01-05,CUST-01680,PROD-108,REG-03,EMP-0360,8,4500.0,0.1,32400.0,16000.0,16400.0,29666.03
ORD-005948,2023-01-05,CUST-02228,PROD-103,REG-02,EMP-0062,13,1200.0,0.0,15600.0,6500.0,9100.0,14131.01
ORD-009062,2023-01-05,CUST-02484,PROD-106,REG-04,EMP-0112,14,450.0,0.1,5670.0,2100.0,3570.0,5907.93
ORD-002461,2023-01-05,CUST-00251,PROD-115,REG-01,EMP-0267,13,826.6,0.0,10745.8,5764.59,4981.21,10372.63
ORD-008089,2023-01-05,CUST-00843,PROD-102,REG-02,EMP-0391,9,1800.0,0.05,15390.0,7200.0,8190.0,16261.67
ORD-010691,2023-01-05,CUST-00329,PROD-123,REG-02,EMP-0476,8,4325.0,0.05,32870.0,15123.44,17746.56,33459.48
ORD-006372,2023-01-05,CUST-00151,PROD-120,REG-04,EMP-0254,8,3823.19,0.2,24468.42,17238.32,7230.1,26159.22
ORD-002382,2023-01-05,CUST-00373,PROD-125,REG-03,EMP-0496,15,724.55,0.05,10324.84,6309.6,4015.24,9705.2
ORD-011771,2023-01-05,CUST-01394,PROD-110,REG-02,EMP-0391,7,5000.0,0.15,29750.0,17500.0,12250.0,28740.07
ORD-003008,2023-01-06,CUST-01746,PROD-123,REG-02,EMP-0160,10,4325.0,0.0,43250.0,18904.3,24345.7,47887.23
ORD-009863,2023-01-06,CUST-01317,PROD-129,REG-03,EMP-0257,15,4774.71,0.0,71620.65,39392.25,32228.4,80759.28
ORD-004945,2023-01-06,CUST-00399,PROD-128,REG-02,EMP-0403,2,5873.04,0.15,9984.17,4729.18,5254.99,10825.39
ORD-006918,2023-01-06,CUST-00784,PROD-126,REG-04,EMP-0086,3,4816.77,0.0,14450.31,8037.78,6412.53,14305.36
ORD-001369,2023-01-06,CUST-00486,PROD-116,REG-01,EMP-0002,12,765.62,0.2,7349.95,5548.2,1801.75,8047.17
ORD-005167,2023-01-06,CUST-01072,PROD-112,REG-04,EMP-0100,11,2100.0,0.2,18480.0,9900.0,8580.0,19471.79
ORD-002617,2023-01-06,CUST-01424,PROD-113,REG-05,EMP-0476,14,459.73,0.1,5792.6,3780.42,2012.18,5923.49
ORD-008647,2023-01-06,CUST-01730,PROD-124,REG-04,EMP-0389,5,4203.28,0.0,21016.4,8507.2,12509.2,22112.93
ORD-004022,2023-01-06,CUST-00520,PROD-115,REG-04,EMP-0103,10,826.6,0.05,7852.7,4434.3,3418.4,8700.44
ORD-005496,2023-01-06,CUST-00480,PROD-119,REG-05,EMP-0338,11,3470.61,0.1,34359.04,27130.51,7228.53,32818.29
ORD-004353,2023-01-06,CUST-01506,PROD-120,REG-05,EMP-0283,5,3823.19,0.15,16248.56,10773.95,5474.61,18621.91
ORD-009651,2023-01-07,CUST-01552,PROD-117,REG-05,EMP-0407,12,444.02,0.2,4262.59,3291.6,970.99,4567.2
ORD-000241,2023-01-07,CUST-01380,PROD-101,REG-03,EMP-0119,15,2500.0,0.05,35625.0,18000.0,17625.0,32747.59
ORD-003283,2023-01-07,CUST-01368,PROD-101,REG-01,EMP-0422,15,2500.0,0.1,33750.0,18000.0,15750.0,38407.62
ORD-006940,2023-01-07,CUST-01837,PROD-122,REG-01,EMP-0283,7,692.47,0.1,4362.56,3217.83,1144.73,4510.12
ORD-006177,2023-01-07,CUST-01874,PROD-103,REG-01,EMP-0407,2,1200.0,0.0,2400.0,1000.0,1400.0,2402.35
ORD-003810,2023-01-07,CUST-01397,PROD-113,REG-05,EMP-0058,14,459.73,0.1,5792.6,3780.42,2012.18,6648.07
ORD-002082,2023-01-07,CUST-02031,PROD-116,REG-04,EMP-0328,1,765.62,0.2,612.5,462.35,150.15,635.71
ORD-011367,2023-01-07,CUST-00514,PROD-121,REG-02,EMP-0389,11,1798.33,0.2,15825.3,8831.68,6993.62,18160.62
ORD-008963,2023-01-07,CUST-00406,PROD-116,REG-02,EMP-0183,11,765.62,0.05,8000.73,5085.85,2914.88,8319.1
ORD-009932,2023-01-07,CUST-01765,PROD-123,REG-01,EMP-0223,15,4325.0,0.15,55143.75,28356.45,26787.3,51976.14
ORD-005034,2023-01-07,CUST-02343,PROD-109,REG-02,EMP-0267,6,3500.0,0.15,17850.0,9000.0,8850.0,17102.15
ORD-001413,2023-01-07,CUST-01345,PROD-120,REG-02,EMP-0351,3,3823.19,0.15,9749.13,6464.37,3284.76,9585.52
ORD-012221,2023-01-08,CUST-01422,PROD-117,REG-01,EMP-0092,7,444.02,0.05,2952.73,1920.1,1032.63,3188.96
ORD-004464,2023-01-08,CUST-01714,PROD-110,REG-01,EMP-0435,7,5000.0,0.0,35000.0,17500.0,17500.0,35504.08
ORD-007184,2023-01-08,CUST-02445,PROD-119,REG-04,EMP-0389,10,3470.61,0.2,27764.88,24664.1,3100.78,28584.37
ORD-011298,2023-01-08,CUST-02466,PROD-122,REG-01,EMP-0444,10,692.47,0.15,5886.0,4596.9,1289.1,5812.3
ORD-007861,2023-01-08,CUST-02120,PROD-110,REG-01,EMP-0334,11,5000.0,0.15,46750.0,27500.0,19250.0,53468.31
ORD-012294,2023-01-08,CUST-00013,PROD-102,REG-01,EMP-0159,4,1800.0,0.15,6120.0,3200.0,2920.0,6772.63
ORD-007541,2023-01-08,CUST-01370,PROD-129,REG-01,EMP-0002,7,4774.71,0.2,26738.38,18383.05,8355.33,27855.07
ORD-006386,2023-01-08,CUST-00538,PROD-129,REG-03,EMP-0419,1,4774.71,0.05,4535.97,2626.15,1909.82,4276.14
ORD-006122,2023-01-08,CUST-02365,PROD-119,REG-05,EMP-0391,4,3470.61,0.1,12494.2,9865.64,2628.56,13815.73
ORD-002683,2023-01-08,CUST-00210,PROD-129,REG-01,EMP-0193,6,4774.71,0.15,24351.02,15756.9,8594.12,23283.58
ORD-000156,2023-01-08,CUST-01822,PROD-105,REG-03,EMP-0164,7,2200.0,0.0,15400.0,8400.0,7000.0,14055.18
ORD-005663,2023-01-09,CUST-02433,PROD-117,REG-01,EMP-0397,15,444.02,0.05,6327.28,4114.5,2212.78,5965.12
ORD-000316,2023-01-09,CUST-00391,PROD-109,REG-01,EMP-0407,10,3500.0,0.15,29750.0,15000.0,14750.0,32832.98
ORD-003797,2023-01-09,CUST-00748,PROD-112,REG-05,EMP-0334,8,2100.0,0.0,16800.0,7200.0,9600.0,15772.7
