campaign_id,campaign_name,campaign_date,channel,campaign_cost,impressions,clicks,leads,conversions,customers_acquired,revenue_generated
CAMP-00042,LinkedIn Ads Campaign 2023-01-14,2023-01-14,LinkedIn Ads,3162.05,53881,1468,261,70,66,202448.3
CAMP-00043,LinkedIn Ads Campaign 2023-01-15,2023-01-15,LinkedIn Ads,2736.23,26096,1401,157,30,24,85481.37
CAMP-00044,SEO Content Campaign 2023-01-15,2023-01-15,SEO Content,840.55,59039,4558,723,271,172,519335.34
CAMP-00045,Google Ads Campaign 2023-01-15,2023-01-15,Google Ads,1506.35,52057,3925,288,55,40,86869.8
CAMP-00046,Events & Webinars Campaign 2023-01-15,2023-01-15,Events & Webinars,308.8,66881,4486,620,129,102,175249.83
CAMP-00047,Google Ads Campaign 2023-01-16,2023-01-16,Google Ads,1545.8,48980,2207,115,12,10,31923.74
CAMP-00048,LinkedIn Ads Campaign 2023-01-16,2023-01-16,LinkedIn Ads,1591.02,23459,1460,267,101,74,187068.07
CAMP-00049,LinkedIn Ads Campaign 2023-01-17,2023-01-17,LinkedIn Ads,1989.44,14201,300,18,6,4,4768.62
CAMP-00050,Email Campaigns Campaign 2023-01-17,2023-01-17,Email Campaigns,559.77,30950,2354,343,82,74,129273.59
CAMP-00051,SEO Content Campaign 2023-01-17,2023-01-17,SEO Content,2342.23,11430,312,39,9,7,7303.67
CAMP-00052,Events & Webinars Campaign 2023-01-18,2023-01-18,Events & Webinars,711.32,62985,2739,192,74,62,244156.91
CAMP-00053,SEO Content Campaign 2023-01-18,2023-01-18,SEO Content,3457.0,55253,3276,308,83,57,159668.9
CAMP-00054,Events & Webinars Campaign 2023-01-19,2023-01-19,Events & Webinars,3272.07,76836,4757,845,315,266,578496.69
CAMP-00055,Partner Referrals Campaign 2023-01-19,2023-01-19,Partner Referrals,2086.61,71523,3102,278,102,66,280530.84
CAMP-00056,LinkedIn Ads Campaign 2023-01-19,2023-01-19,LinkedIn Ads,1529.84,22400,574,58,11,10,22835.25
CAMP-00057,Partner Referrals Campaign 2023-01-20,2023-01-20,Partner Referrals,1050.55,86569,2923,192,59,45,41208.48
CAMP-00058,Events & Webinars Campaign 2023-01-20,2023-01-20,Events & Webinars,1273.07,59163,3650,328,47,35,119781.24
CAMP-00059,Events & Webinars Campaign 2023-01-21,2023-01-21,Events & Webinars,1745.47,96983,7405,1417,293,207,768474.09
CAMP-00060,Google Ads Campaign 2023-01-21,2023-01-21,Google Ads,1363.58,9169,456,29,6,5,7693.0
CAMP-00061,SEO Content Campaign 2023-01-21,2023-01-21,SEO Content,1616.42,76655,2359,363,108,95,81042.85
CAMP-00062,LinkedIn Ads Campaign 2023-01-21,2023-01-21,LinkedIn Ads,3162.17,88764,5431,1048,132,96,286439.38
CAMP-00063,SEO Content Campaign 2023-01-22,2023-01-22,SEO Content,2126.85,19090,1483,263,104,64,93173.0
CAMP-00064,Partner Referrals Campaign 2023-01-22,2023-01-22,Partner Referrals,3046.2,79145,3550,593,90,64,266962.39
CAMP-00065,Events & Webinars Campaign 2023-01-22,2023-01-22,Events & Webinars,2597.38,65817,2238,216,53,46,49926.62
CAMP-00066,SEO Content Campaign 2023-01-23,2023-01-23,SEO Content,2780.47,8973,314,61,17,13,25390.86
CAMP-00067,LinkedIn Ads Campaign 2023-01-23,2023-01-23,LinkedIn Ads,2617.03,11930,793,46,5,4,4625.26
CAMP-00068,Google Ads Campaign 2023-01-23,2023-01-23,Google Ads,959.66,82772,4600,335,37,32,120399.91
CAMP-00069,Events & Webinars Campaign 2023-01-23,2023-01-23,Events & Webinars,995.62,58071,3402,459,178,173,397001.64
CAMP-00070,Partner Referrals Campaign 2023-01-24,2023-01-24,Partner Referrals,2396.94,79842,2387,276,35,25,35160.33
CAMP-00071,LinkedIn Ads Campaign 2023-01-24,2023-01-24,LinkedIn Ads,3063.4,33059,2088,144,30,25,103672.93
CAMP-00072,SEO Content Campaign 2023-01-25,2023-01-25,SEO Content,3096.14,83514,2229,173,56,50,161894.7
CAMP-00073,Email Campaigns Campaign 2023-01-25,2023-01-25,Email Campaigns,2410.59,44509,1599,109,40,29,105757.17
CAMP-00074,Partner Referrals Campaign 2023-01-26,2023-01-26,Partner Referrals,3249.84,21060,606,118,38,31,72651.49
CAMP-00075,LinkedIn Ads Campaign 2023-01-26,2023-01-26,LinkedIn Ads,2885.16,24880,670,50,15,12,44321.15
CAMP-00076,Email Campaigns Campaign 2023-01-26,2023-01-26,Email Campaigns,2294.07,35018,1264,246,65,61,266240.8
CAMP-00077,SEO Content Campaign 2023-01-26,2023-01-26,SEO Content,1267.5,56838,1466,287,96,72,105384.66
CAMP-00078,Events & Webinars Campaign 2023-01-27,2023-01-27,Events & Webinars,1669.69,34366,712,117,43,41,93450.95
CAMP-00079,Email Campaigns Campaign 2023-01-27,2023-01-27,Email Campaigns,1489.3,92049,4779,634,236,191,724646.14
CAMP-00080,Partner Referrals Campaign 2023-01-28,2023-01-28,Partner Referrals,2102.28,21422,953,158,28,24,81892.16
CAMP-00081,Google Ads Campaign 2023-01-28,2023-01-28,Google Ads,1722.42,63808,1374,105,38,35,96156.7
CAMP-00082,LinkedIn Ads Campaign 2023-01-28,2023-01-28,LinkedIn Ads,466.16,43230,1782,250,57,48,191234.58
CAMP-00083,Google Ads Campaign 2023-01-29,2023-01-29,Google Ads,893.44,34452,1532,191,26,20,53188.59
CAMP-00084,Events & Webinars Campaign 2023-01-29,2023-01-29,Events & Webinars,2898.87,19034,1348,240,71,44,41229.72
CAMP-00085,Email Campaigns Campaign 2023-01-30,2023-01-30,Email Campaigns,3180.05,86940,6884,629,209,198,772591.63
CAMP-00086,Partner Referrals Campaign 2023-01-30,2023-01-30,Partner Referrals,1079.84,86969,6755,991,160,101,333016.31
CAMP-00087,Events & Webinars Campaign 2023-01-30,2023-01-30,Events & Webinars,2799.62,51498,2810,154,20,19,82442.89
CAMP-00088,Email Campaigns Campaign 2023-01-31,2023-01-31,Email Campaigns,2296.57,24056,1800,182,21,14,58939.05
CAMP-00089,Google Ads Campaign 2023-01-31,2023-01-31,Google Ads,2036.48,87754,4841,601,105,92,278256.23
CAMP-00090,Events & Webinars Campaign 2023-01-31,2023-01-31,Events & Webinars,2568.21,84117,6202,835,323,242,766165.76
CAMP-00091,Partner Referrals Campaign 2023-01-31,2023-01-31,Partner Referrals,628.29,9899,542,36,10,9,14470.23
CAMP-00092,Google Ads Campaign 2023-02-01,2023-02-01,Google Ads,885.86,24241,1229,131,18,11,14701.72
CAMP-00093,Events & Webinars Campaign 2023-02-01,2023-02-01,Events & Webinars,2281.58,69952,1482,191,40,27,56261.4
CAMP-00094,Email Campaigns Campaign 2023-02-01,2023-02-01,Email Campaigns,1006.15,19105,888,75,20,18,14672.71
CAMP-00095,Partner Referrals Campaign 2023-02-01,2023-02-01,Partner Referrals,553.83,42996,3128,619,144,143,289567.51
CAMP-00096,Partner Referrals Campaign 2023-02-02,2023-02-02,Partner Referrals,2409.59,60380,1258,124,47,31,121533.28
CAMP-00097,Events & Webinars Campaign 2023-02-02,2023-02-02,Events & Webinars,3244.45,49658,2423,313,120,84,189833.89
CAMP-00098,LinkedIn Ads Campaign 2023-02-02,2023-02-02,LinkedIn Ads,909.51,7471,397,62,17,12,42103.64
CAMP-00099,Email Campaigns Campaign 2023-02-02,2023-02-02,Email Campaigns,2172.29,27708,1330,163,53,33,83874.58
CAMP-00100,LinkedIn Ads Campaign 2023-02-03,2023-02-03,LinkedIn Ads,2043.78,95191,6997,1133,450,350,1271980.43
